school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Indiana,1942.3110947604719,3,0.0005966389253099907,2.4581260904580122,1.748716345872562,1885.3908938574136,2.6843960124117183,-0.7510820611399286,2,0.3333333333333333,0.0,2.4195956053563066,1887.135296857009,3,0,1,Big Ten,IU,2026,3,2026-09-23T04:17:06Z
Notre Dame,1957.5484021380369,3,0.0005966389253099907,2.5471863505051178,1.597539691282575,1912.0345308116039,2.8694194806345896,-0.08176820806452861,3,0.5,0.0,2.4060183064591767,1884.9629290334683,3,0,2,FBS Independents,ND,2026,3,2026-09-23T04:17:06Z
Ohio State,1942.2703294245637,3,0.0005966389253099907,2.457887821889496,1.7953108137930722,1887.0423410759931,2.6958642850238226,0.15711390698242522,3,0.5,0.0,2.362352699273024,1877.9764318836837,2,1,3,Big Ten,OSU,2026,3,2026-09-23T04:17:06Z
Georgia,1926.9369637795305,3,0.0005966389253099907,2.3682661126264364,1.3229290978117847,1860.9208195004612,2.5144665829956323,0.88528859557363,2,0.3333333333333333,0.0,2.2553257015149977,1860.8521122423997,3,0,4,SEC,UGA,2026,3,2026-09-23T04:17:06Z
Texas,1907.585054655584,3,0.0005966389253099907,2.255156491859433,1.7254115410039956,1801.303840732479,2.1004637876720538,0.4557923202745571,3,0.5,0.0,2.1011580194747994,1836.1852831159679,3,0,5,SEC,TEX,2026,3,2026-09-23T04:17:06Z
Miami,1867.7371914807836,3,0.0005966389253099907,2.0222504429931853,1.0765867728279075,1800.38819529551,2.094105200265171,0.5771400340778493,2,0.3333333333333333,0.0,1.9019573196499895,1804.3131711439983,3,0,6,ACC,MIA,2026,3,2026-09-23T04:17:06Z
Alabama,1850.4798900019705,3,0.0005966389253099907,1.9213835562571902,1.6488248398332623,1745.3628017076276,1.7119881049353078,0.9125854521826211,3,0.5,0.0,1.8129438685143828,1790.0710189623012,3,0,7,SEC,ALA,2026,3,2026-09-23T04:17:06Z
Oregon,1794.8345864715238,3,0.0005966389253099907,1.5961433363139699,0.020988181403588976,1864.4017272188994,2.5386393196132544,-1.1005324141585182,2,0.3333333333333333,0.0,1.6426188580671983,1762.8190172907516,2,1,8,Big Ten,ORE,2026,3,2026-09-23T04:17:06Z
Ole Miss,1809.7187073553657,3,0.0005966389253099907,1.6831392630640771,1.0921574431081913,1791.583274174338,2.0329605057150575,-0.3514841554027599,3,0.5,0.0,1.6288781331704736,1760.6205013072758,3,0,9,SEC,MISS,2026,3,2026-09-23T04:17:06Z
LSU,1796.2220259169699,3,0.0005966389253099907,1.6042527558294528,2.07904241387914,1674.8444237301962,1.222281880170684,0.47095516297537166,3,0.5,0.0,1.6251369818674097,1760.0219170987855,2,1,10,SEC,LSU,2026,3,2026-09-23T04:17:06Z
Penn State,1812.9164388301072,3,0.0005966389253099907,1.7018296254518965,1.3768636281495636,1710.9582556141218,1.4730699552923412,0.5812290177437739,3,0.5,0.0,1.5772413502729716,1752.3586160436755,3,0,11,Big Ten,PSU,2026,3,2026-09-23T04:17:06Z
Utah,1789.1414382022704,3,0.0005966389253099907,1.562867557806477,1.43314075784611,1687.9908282684703,1.3135754737035228,1.6336953250184076,2,0.3333333333333333,0.0,1.4686209125815357,1734.9793460130456,3,0,12,Big 12,UTAH,2026,3,2026-09-23T04:17:06Z
Texas A&M,1782.2458222505477,3,0.0005966389253099907,1.5225634978680647,0.9400999297776472,1757.4740018203224,1.7960928483321967,-0.3955560175694896,3,0.5,0.0,1.4530532989021507,1732.4885278243441,2,1,13,SEC,TA&M,2026,3,2026-09-23T04:17:06Z
Oklahoma,1743.4534866242664,3,0.0005966389253099907,1.295826882723184,1.210121488925045,1706.3688021183707,1.4411990585190726,-0.8158317627513706,3,0.5,-0.00622233264786054,1.3030295760248172,1708.4847321639709,2,1,14,SEC,OU,2026,3,2026-09-23T04:17:06Z
USC,1746.640818820637,3,0.0005966389253099907,1.3144564625584787,1.0606896402176598,1727.3940145605943,1.5872060669793453,-1.1529251050968572,4,0.6666666666666666,0.0,1.279238856519363,1704.6782170430981,4,0,15,Big Ten,USC,2026,3,2026-09-23T04:17:06Z
