school,quality_z,game_value_z,market_z,talent_prior_z,solver_rating,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Notre Dame,1.3975426219539595,1.3306627083361646,0.0,2.893212516197412,2010.457812246841,2.179165442369465,1848.6664707791144,2,0,1,FBS Independents,ND,2026,2,2026-09-15T15:49:32Z
Georgia,1.8258824973786685,0.15083088682899662,0.0,2.7111533767036007,1883.7236948746306,1.9793588270873705,1816.6974123339792,2,0,2,SEC,UGA,2026,2,2026-09-15T15:49:32Z
Indiana,1.806173817418802,0.5369809742708221,0.0,2.4137817707446563,1882.8120825691417,1.877742625493611,1800.4388200789776,2,0,3,Big Ten,IU,2026,2,2026-09-15T15:49:32Z
Texas A&M,1.4100143172889017,1.6650057971355912,0.0,1.8841986641343726,1920.4189888087465,1.6835844040629746,1769.373504650076,2,0,4,SEC,TA&M,2026,2,2026-09-15T15:49:32Z
Miami,1.635774125539514,0.6799750808086781,0.0,2.0599052799551547,1853.526769216377,1.66478676032097,1766.3658816513553,2,0,5,ACC,MIA,2026,2,2026-09-15T15:49:32Z
Ohio State,0.3454937115275605,0.9065733062529738,0.0,2.8211269201744877,1964.1140457073573,1.6624936297828201,1765.9989807652512,1,1,6,Big Ten,OSU,2026,2,2026-09-15T15:49:32Z
Alabama,1.3774848240923454,1.4195535022769303,0.0,1.8063952109584753,1889.311670292305,1.5895918708888295,1754.3346993422128,2,0,7,SEC,ALA,2026,2,2026-09-15T15:49:32Z
Texas,0.21407464240757038,1.0653706460826058,0.0,2.2930831203830304,1915.5535126406894,1.5478658560203233,1747.6585369632517,2,0,8,SEC,TEX,2026,2,2026-09-15T15:49:32Z
LSU,1.7714565203024215,1.7985058544357748,0.0,1.348370821037783,1868.6800478149246,1.5013202786606952,1740.2112445857113,2,0,9,SEC,LSU,2026,2,2026-09-15T15:49:32Z
South Carolina,2.081450844015191,1.540984685816757,0.0,1.081904358502768,1814.092707765006,1.3865843272814007,1721.853492365024,2,0,10,SEC,SC,2026,2,2026-09-15T15:49:32Z
Penn State,1.2637275625704079,1.329806662870658,0.0,1.130904911480294,1801.0972978685209,1.1725109808948129,1687.6017569431701,2,0,11,Big Ten,PSU,2026,2,2026-09-15T15:49:32Z
Florida,1.5659133834275416,1.141044958994463,0.0,0.9587897208324291,1763.8405756442887,1.1199426529685113,1679.1908244749618,2,0,12,SEC,FLA,2026,2,2026-09-15T15:49:32Z
USC,1.0879395535805827,0.5467889606268068,0.0,1.5391714660373441,1779.820668893636,1.0650752112148527,1670.4120337943764,3,0,13,Big Ten,USC,2026,2,2026-09-15T15:49:32Z
Mississippi State,1.6066884610210326,2.075642831024936,0.0,0.3913095312560415,1779.714609055257,0.9801625556624125,1656.8260089059859,2,0,14,SEC,MSST,2026,2,2026-09-15T15:49:32Z
Tennessee,0.9819206463772494,0.7160863260981851,0.0,1.090295976635111,1741.597262381911,0.972424799959578,1655.5879679935324,2,0,15,SEC,TENN,2026,2,2026-09-15T15:49:32Z
Utah,1.305354414083467,1.1423644623774023,0.0,0.7926834477328415,1744.2321261121044,0.9633847096409156,1654.1415535425465,2,0,16,Big 12,UTAH,2026,2,2026-09-15T15:49:32Z
Nebraska,1.4222027878333647,1.609590317555708,0.0,0.5233620343124429,1753.8747249404453,0.9255329098159323,1648.0852655705492,2,0,17,Big Ten,NEB,2026,2,2026-09-15T15:49:32Z
Virginia,1.5451715648589872,1.187428541094964,0.0,0.38751199245983853,1700.1305566049475,0.8074309501748321,1629.188952027973,2,0,18,ACC,UVA,2026,2,2026-09-15T15:49:32Z
Oklahoma,0.20112143801938778,0.7268454653507141,0.0,1.3922805475197981,1778.4181063991164,0.806059483827593,1628.969517412415,1,1,19,SEC,OU,2026,2,2026-09-15T15:49:32Z
Auburn,0.5784158035037681,0.6464363233017442,0.0,0.9036402236350899,1713.2254926741377,0.7564153030605634,1621.0264484896902,2,0,20,SEC,AUB,2026,2,2026-09-15T15:49:32Z
Missouri,1.0741548246102446,0.9596463383807768,0.0,0.5543993582201749,1699.6557728433538,0.7421323695513053,1618.7411791282088,2,0,21,SEC,MIZ,2026,2,2026-09-15T15:49:32Z
Kansas State,1.2216936632487245,0.7964889323561709,0.0,0.530664849298706,1682.3012336354623,0.7373502623244524,1617.9760419719123,2,0,22,Big 12,KSU,2026,2,2026-09-15T15:49:32Z
SMU,0.7842283046141177,0.2601898010708386,0.0,0.8431767292441535,1671.6336493540375,0.7069065850270555,1613.105053604329,2,0,23,ACC,SMU,2026,2,2026-09-15T15:49:32Z
Iowa,0.40536482872913115,0.3534603540411724,0.0,0.7663518837781668,1670.8199273826576,0.5861765021183165,1593.7882403389306,2,0,24,Big Ten,IOWA,2026,2,2026-09-15T15:49:32Z
BYU,0.7472672276132888,0.4967613100988694,0.0,0.5516219881708433,1658.0865151357266,0.5780453931383176,1592.4872629021309,2,0,25,Big 12,BYU,2026,2,2026-09-15T15:49:32Z
Pittsburgh,0.846634404158184,1.287778622854682,0.0,0.2509218558187901,1692.8499986212623,0.5751048168244328,1592.0167706919092,2,0,26,ACC,PITT,2026,2,2026-09-15T15:49:32Z
Maryland,1.2607858735979747,1.5550444089751982,0.0,-0.07677810617140969,1677.745146095929,0.5443092116208623,1587.0894738593379,2,0,27,Big Ten,MD,2026,2,2026-09-15T15:49:32Z
UCLA,0.9990914594946807,1.2711001133891364,0.0,-0.024199074954318993,1658.691843601731,0.45835036495782094,1573.3360583932513,2,0,28,Big Ten,UCLA,2026,2,2026-09-15T15:49:32Z
Virginia Tech,0.7749792179837252,1.0751267177343906,0.0,0.08493297877310631,1654.1923500891917,0.4283822240979942,1568.541155855679,2,0,29,ACC,VT,2026,2,2026-09-15T15:49:32Z
Ole Miss,0.5376143476091875,-0.3747180921386558,0.0,1.97367497891471,1749.321455763665,0.36630722599755944,1558.6091561596095,2,0,30,SEC,MISS,2026,2,2026-09-15T15:49:32Z
Texas Tech,0.6359627231649143,-0.4095936216398729,0.0,1.551036683036457,1696.0236055180915,0.35424129614066874,1556.678607382507,2,0,31,Big 12,TTU,2026,2,2026-09-15T15:49:32Z
New Mexico,1.3123922958024936,1.292451441772362,0.0,-0.37659254382716123,1618.745487142929,0.3457448641153016,1555.3191782584483,2,0,32,Mountain West,UNM,2026,2,2026-09-15T15:49:32Z
James Madison,0.4879818507639292,-0.013895560584439904,0.0,0.5682217796906648,1614.5623129480432,0.3047437523191905,1548.7590003710704,2,0,33,Sun Belt,JMU,2026,2,2026-09-15T15:49:32Z
Louisville,0.06577096582475134,0.5233116492013064,0.0,0.3514609435320413,1636.6816666758793,0.3019720438856242,1548.3155270216998,1,1,34,ACC,LOU,2026,2,2026-09-15T15:49:32Z
Iowa State,0.18956094424916675,0.5116965410420368,0.0,0.2637928079352954,1625.2357682830777,0.2824487068931765,1545.1917931029082,1,1,35,Big 12,ISU,2026,2,2026-09-15T15:49:32Z
Nevada,1.0902923074016724,-0.4546995253307337,0.0,-0.9018290210993068,1400.713318139495,0.2810456396173609,1544.9673023387777,1,1,36,Mountain West,NEV,2026,2,2026-09-15T15:49:32Z
North Dakota State,0.6758050556016694,1.3507672815135934,0.0,-0.9860446728781856,1551.565021920515,0.2779717001256607,1544.4754720201058,3,0,37,Mountain West,NDSU,2026,2,2026-09-15T15:49:32Z
UTSA,0.33813732181636946,0.1301826874520998,0.0,0.2989710560465823,1595.4234757616177,0.2722836751116253,1543.56538801786,2,0,38,American Athletic,UTSA,2026,2,2026-09-15T15:49:32Z
Baylor,0.22227533242175548,0.6201092650399002,0.0,0.19555346926647366,1626.7906600494587,0.27189114733864234,1543.5025835741828,1,1,39,Big 12,BAY,2026,2,2026-09-15T15:49:32Z
Duke,0.38457165156256473,0.22987132779777783,0.0,0.2451327769705767,1597.9120615231684,0.2715791368547804,1543.4526618967648,2,0,40,ACC,DUKE,2026,2,2026-09-15T15:49:32Z
Wake Forest,0.5676403240553016,0.41137886381436917,0.0,0.09465023574112909,1596.2115645873869,0.2659361478539436,1542.549783656631,2,0,41,ACC,WAKE,2026,2,2026-09-15T15:49:32Z
North Carolina,0.581926373261294,0.802636057539215,0.0,-0.05130597385437264,1613.7364136163176,0.25730882905783814,1541.1694126492541,2,0,42,ACC,UNC,2026,2,2026-09-15T15:49:32Z
Michigan,0.2781723694765164,-0.25422041744530044,0.0,1.2521637544994468,1674.372995979316,0.237212591255183,1537.9540146008292,2,0,43,Big Ten,MICH,2026,2,2026-09-15T15:49:32Z
Cincinnati,0.6525074518305372,0.9114711530569332,0.0,-0.1953335940571271,1606.3286801635006,0.21443396506509982,1534.309434410416,2,0,44,Big 12,CIN,2026,2,2026-09-15T15:49:32Z
Michigan State,0.6291491696054643,0.7914231297321561,0.0,-0.15054660673081202,1600.9519143505697,0.21234445537607377,1533.9751128601717,2,0,45,Big Ten,MSU,2026,2,2026-09-15T15:49:32Z
Vanderbilt,0.49647419849336627,-0.4471316287650414,0.0,0.99946856835792,1627.1773948118525,0.20750656565138093,1533.201050504221,2,0,46,SEC,VAN,2026,2,2026-09-15T15:49:32Z
South Florida,0.4767271476139113,-0.4217036876369221,0.0,0.6917332160340016,1592.8974696524167,0.17085967157078286,1527.3375474513252,2,0,47,American Athletic,USF,2026,2,2026-09-15T15:49:32Z
Houston,0.68593531444948,0.6257975835593232,0.0,-0.26893815984801483,1572.1364079363163,0.1322004625766552,1521.1520740122648,2,0,48,Big 12,HOU,2026,2,2026-09-15T15:49:32Z
Northwestern,0.0,-0.09721734159930619,0.0,0.21211749958648027,1564.8495726005995,0.10012920465492445,1516.0206727447878,1,0,49,Big Ten,NU,2026,2,2026-09-15T15:49:32Z
Colorado,0.12011797424856127,0.5069215123053397,0.0,-0.12656528509656959,1578.4530026280088,0.048729176899570986,1507.7966683039313,2,0,50,Big 12,COLO,2026,2,2026-09-15T15:49:32Z
Boise State,-0.001936116708674454,0.4908628127214453,0.0,0.09044693250100366,1602.7941709071893,0.03726769684333816,1505.962831494934,1,1,51,Pac-12,BOIS,2026,2,2026-09-15T15:49:32Z
Colorado State,1.0599443232226795,1.2943152248478298,0.0,-0.8468718276694069,1563.0631819631967,0.023353602014595465,1503.7365763223352,2,0,52,Pac-12,CSU,2026,2,2026-09-15T15:49:32Z
Washington,0.6546956160199568,-1.2528830953834866,0.0,0.9935308334138765,1554.6862783350896,0.004132106380078354,1500.6611370208125,2,0,53,Big Ten,WASH,2026,2,2026-09-15T15:49:32Z
UCF,-0.22281436330574778,0.6917057685413479,0.0,-0.11240757260911927,1596.5971993492878,0.00320763672370019,1500.513221875792,1,1,54,Big 12,UCF,2026,2,2026-09-15T15:49:32Z
West Virginia,0.22722874796686854,0.6328682760458125,0.0,-0.3230334470317608,1566.3422425266003,-0.010987536274423448,1498.2419941960923,2,0,55,Big 12,WVU,2026,2,2026-09-15T15:49:32Z
Florida International,0.20775827147982665,-0.1301755074696024,0.0,-0.6012666860597644,1465.3191816415629,-0.011446196571450497,1498.1686085485678,1,1,56,Conference USA,FIU,2026,2,2026-09-15T15:49:32Z
Western Michigan,-0.17630839800847894,0.9556098052316617,0.0,-0.25195306658207556,1603.5371167101214,-0.016096562161744238,1497.424550054121,1,1,57,Mid-American,WMU,2026,2,2026-09-15T15:49:32Z
