school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,result_note,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Texas,0.7353209942223681,12.71083122241438,2,0,Ohio State,0.6604353259246325,,,0.0,2.043951008486062,1905.0621285607524,1797.075029568733,2.425497187916508,0.5,0.0,,2,0,2.2347240982012853,1857.5558557122056,1,SEC,TEX,2026,2,2026-09-23T04:43:42Z,
Indiana,0.2301335706441161,13.425994874129364,1,1,North Texas,0.22206137172035656,,,0.0,1.3470199490514934,1969.0975548636566,1797.075029568733,2.6676699635566887,0.5714285714285714,0.0,,2,0,2.1016771001973193,1836.2683360315712,2,Big Ten,IU,2026,2,2026-09-23T04:43:42Z,
Georgia,0.03400293630453366,9.277763613466234,1,1,Western Kentucky,0.025930737380774116,,,0.0,1.0032524726039294,1922.8913114147213,1797.075029568733,2.6578435125339825,0.5714285714285714,0.0,,2,0,1.948733066849674,1811.7972906959478,3,SEC,UGA,2026,2,2026-09-23T04:43:42Z,
Miami,0.11218945635158584,12.310596042635403,1,1,Stanford,0.10411725742782629,,,0.0,1.163102353492528,1903.1520392719976,1797.075029568733,2.433001493745947,0.5714285714285714,0.0,,2,0,1.8887590050659102,1802.2014408105456,4,ACC,MIA,2026,2,2026-09-23T04:43:42Z,
Notre Dame,0.18358935152591005,12.412748386952591,2,0,Wisconsin,0.14310999036042105,,,0.0,1.2649630581186855,1976.8816414011808,1797.075029568733,2.4583672933217264,0.5,0.0,,2,0,1.8616651757202058,1797.8664281152328,5,FBS Independents,ND,2026,2,2026-09-23T04:43:42Z,
Texas A&M,0.2474340091460967,14.930199301012726,2,0,Arizona State,0.18480307212253488,,,0.0,1.396168441213164,1898.2561799944012,1797.075029568733,2.2360893631421845,0.5,0.0,,2,0,1.8161289021776743,1790.5806243484278,6,SEC,TA&M,2026,2,2026-09-23T04:43:42Z,
Alabama,0.2344442250164095,11.705922192560394,2,0,Kentucky,0.15384779615764144,,,0.0,1.3246209423445743,1863.8996681198582,1797.075029568733,2.139711112970052,0.5,0.0,,2,0,1.7321660276573132,1777.1465644251703,7,SEC,ALA,2026,2,2026-09-23T04:43:42Z,
Ohio State,-0.2632489749372413,9.926413816010802,2,0,Ball State,0.0340067182732493,Texas,-0.2972556932104906,0.0,0.5969469201469806,1935.8757008322648,1797.075029568733,2.845101957530697,0.5,0.0,,1,1,1.721024438838839,1775.3639102142142,8,Big Ten,OSU,2026,2,2026-09-23T04:43:42Z,4
Ole Miss,0.3328323268163623,-2.011090396943276,2,0,Louisville,0.31135370143956576,,,0.0,1.2358026934964814,1777.0146285853652,1797.075029568733,2.1131882909999216,0.5,0.0,,2,0,1.6744954922482016,1767.9192787597121,9,SEC,MISS,2026,2,2026-09-23T04:43:42Z,
LSU,0.28037594111842334,15.824600323889904,2,0,Clemson,0.15800195358560087,,,0.0,1.4571763723845617,1857.7344152698881,1797.075029568733,1.4942624303009864,0.5,0.0,,2,0,1.475719401342774,1736.1151042148438,10,SEC,LSU,2026,2,2026-09-23T04:43:42Z,
