school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Georgia,2219.4123071642603,5,9.544781827349626e-06,2.83760791341018,2.6271844212431965,1913.3295316648257,2.9465712676513824,0.6292699252959296,14,1.0,0.0,2.7429173419350374,1938.866774709606,15,0,1,SEC,UGA,2022,17,2026-09-23T04:17:05Z
Ohio State,2090.247127295522,5,9.544781827349626e-06,2.2659760603536827,2.19309245216391,1888.9828258106959,2.773548456630419,-0.7766904582603252,13,1.0,0.0,2.233178436668285,1857.3085498669257,11,2,2,Big Ten,OSU,2022,17,2026-09-23T04:17:05Z
Tennessee,2078.382437747579,5,9.544781827349626e-06,2.2134678342270813,1.7626846650611494,1604.8758807244803,0.7545080754013033,2.3858398111989487,12,1.0,0.04256982605466586,2.0531852341570778,1828.5096374651325,11,2,3,SEC,TENN,2022,17,2026-09-23T04:17:05Z
Michigan,2058.3566473539395,5,9.544781827349626e-06,2.1248419392043645,1.8806082501633234,1796.9558264365905,2.1195474506244585,0.6300520799906194,14,1.0,0.0,2.014936779135896,1822.3898846617433,13,1,4,Big Ten,MICH,2022,17,2026-09-23T04:17:05Z
Alabama,2081.967493447024,5,9.544781827349626e-06,2.229333813238353,1.8378925263910748,1924.5456883252893,3.02628024207577,-0.3737863149645528,12,1.0,-0.04256982605466586,2.010615408102412,1821.6984652963858,11,2,5,SEC,ALA,2022,17,2026-09-23T04:17:05Z
LSU,1932.6649929835785,5,9.544781827349626e-06,1.5685824784543236,1.9272143948340146,1566.4226000550786,0.4812351836080435,1.5644126422951086,13,1.0,0.0,1.7299668408251847,1776.7946945320296,10,4,6,SEC,LSU,2022,17,2026-09-23T04:17:05Z
Texas,1941.6591315045207,5,9.544781827349626e-06,1.6083868287799905,1.6430916340999935,1622.5604599356302,0.8801856773392678,0.9174216416559824,13,1.0,0.0,1.6240039911739919,1759.8406385878388,8,5,7,Big 12,TEX,2022,17,2026-09-23T04:17:05Z
Penn State,2001.0532975389349,5,9.544781827349626e-06,1.8712409294400925,1.3149815928170518,1633.0044167188894,0.9544069199027433,2.0247918257717066,13,1.0,0.0,1.620924227959724,1759.347876473556,11,2,8,Big Ten,PSU,2022,17,2026-09-23T04:17:05Z
Utah,1912.290850156402,5,9.544781827349626e-06,1.4784149191277918,1.5049607697597063,1742.539132689522,1.732828632276078,1.101642460623265,13,1.0,0.0,1.4903605519121532,1738.4576883059444,10,4,9,Pac-12,UTAH,2022,17,2026-09-23T04:17:05Z
Kansas State,1928.7776367965557,5,9.544781827349626e-06,1.551378642072594,1.292782694181399,1559.3925310523996,0.4312751476260692,1.5338112784477371,13,1.0,-0.036360144980849274,1.3986503205407068,1723.7840512865132,10,4,10,Big 12,KSU,2022,17,2026-09-23T04:17:05Z
