school,record,schedule,results,elite_wins,playoff_raw,record_z,schedule_z,results_z,elite_wins_z,playoff_z,wins,losses,poll_score,poll_rating,rank,solver_rating,conference,abbreviation,season,week,as_of
Auburn,-0.04999999999999998,1727.4931920250508,1.72259606613519,1.8321454587162957,0.0,-0.5875703778389275,2.870016476814219,1.8719320017977839,0.2244143330639535,0.0,4,7,0.10931701372142855,1517.4907221954286,38,1592.451726088424,SEC,AUB,2022,17,2026-06-21T03:41:21Z
Iowa,0.3125,1516.524450176672,0.6234177256869748,0.0,0.0,0.4446660376163254,-0.07443805226095365,0.3103360684098136,-0.5915398217883282,0.0,7,5,0.0909018796508241,1514.5443007441318,39,1632.3192920787897,Big Ten,IOWA,2022,17,2026-06-21T03:41:21Z
Florida,0.03750000000000001,1698.1488757848144,1.6972309487812016,1.9711712817444615,0.0,-0.33840986376352167,2.460462890348433,1.8358959349901491,0.2863301036660712,0.0,5,7,0.08401651020902545,1513.442641633444,40,1594.511887883152,SEC,FLA,2022,17,2026-06-21T03:41:21Z
Maryland,0.36538461538461536,1517.9253296311194,0.47144295021340005,0.0,0.0,0.5952575571124498,-0.0548862180972902,0.09442643607452732,-0.5915398217883282,0.0,8,5,0.0825387664753537,1513.2062026360566,41,1579.0234246212651,Big Ten,MD,2022,17,2026-06-21T03:41:21Z
Marshall,0.4,1495.3392307745564,-0.07718416523544218,3.074452338216167,0.0,0.6938265516917314,-0.3701165242065342,-0.6850047452949415,0.7776812448733051,0.0,7,4,0.04344350352588941,1506.9509605641424,42,1594.1080604462647,Sun Belt,MRSH,2022,17,2026-06-21T03:41:21Z
East Carolina,0.3125,1501.493320111552,0.34610207767605544,1.0157244342520046,0.0,0.4446660376163254,-0.2842249553329187,-0.08364457355053785,-0.1391824129537701,0.0,7,5,0.013523444141345601,1502.1637510626153,43,1546.9571007798263,American Athletic,ECU,2022,17,2026-06-21T03:41:21Z
BYU,0.3125,1503.4931532601215,0.4906367429973558,0.0,0.0,0.4446660376163254,-0.256313627237063,0.12169493987846376,-0.5915398217883282,0.0,7,5,0.005615382308556099,1500.898461169369,44,1529.6063027136815,FBS Independents,BYU,2022,17,2026-06-21T03:41:21Z
Kentucky,0.17499999999999996,1633.4881639007278,1.455628747523748,3.398982421623994,0.0,0.053128086926401724,1.5580044299517006,1.4926531680089739,0.9222121655332342,0.0,6,6,-0.006079259312954832,1499.0273185099272,45,1534.024941128358,SEC,UK,2022,17,2026-06-21T03:41:21Z
Duke,0.45,1435.847896679353,0.7628649822167548,0.0,0.0,0.836203988306249,-1.2004268658363793,0.5084479313402792,-0.5915398217883282,0.0,8,4,-0.00746894505307763,1498.8049687915077,46,1662.8154607829194,ACC,DUKE,2022,17,2026-06-21T03:41:21Z
Minnesota,0.45,1466.568697075593,0.38882339963147855,0.0,0.0,0.836203988306249,-0.7716619262012306,-0.022950653210601923,-0.5915398217883282,0.0,8,4,-0.0406763186255564,1493.491789019911,47,1651.6091563467821,Big Ten,MINN,2022,17,2026-06-21T03:41:21Z
Coastal Carolina,0.45,1510.310486554811,-0.1061526944820221,0.0,0.0,0.836203988306249,-0.16116527625438629,-0.7261601572995514,-0.5915398217883282,0.0,8,4,-0.07513733661859852,1487.9780261410242,48,1342.1624002926021,Sun Belt,CCU,2022,17,2026-06-21T03:41:21Z
Fresno State,0.49230769230769234,1455.4959421658334,0.10357402014967909,0.0,0.0,0.9566772039031486,-0.9262024664619898,-0.42820269886006396,-0.5915398217883282,0.0,9,4,-0.1406126923836004,1477.501969218624,49,1760.173748977332,Mountain West,FRES,2022,17,2026-06-21T03:41:21Z
James Madison,0.505,1446.6309748387614,0.09652958938981565,0.0,0.0,0.9928191685822183,-1.0499292942735723,-0.4382106784779576,-0.5915398217883282,0.0,7,3,-0.16083759879388487,1474.2659841929785,50,1682.703253857096,Sun Belt,JMU,2022,17,2026-06-21T03:41:21Z
South Alabama,0.5875,1429.3440552257762,-0.05285995354345966,0.0,0.0,1.2277419389961726,-1.2911998649858654,-0.6504474867834802,-0.5915398217883282,0.0,9,3,-0.2037740380362867,1467.3961539141942,51,1525.5124380843884,Sun Belt,USA,2022,17,2026-06-21T03:41:21Z
Arkansas,0.17499999999999996,1622.1359956699052,1.4948345407946788,0.0,0.0,0.053128086926401724,1.3995641659144256,1.5483525982872033,-0.5915398217883282,0.0,6,6,-0.23949353235939919,1461.681034822496,52,1587.695704767451,SEC,ARK,2022,17,2026-06-21T03:41:21Z
Ohio,0.49230769230769234,1449.458595211384,-0.18372800283545632,0.0,0.0,0.9566772039031486,-1.0104646819346637,-0.8363709225577556,-0.5915398217883282,0.0,9,4,-0.25711075347503465,1458.8622794439943,53,1553.4305751059978,Mid-American,OHIO,2022,17,2026-06-21T03:41:21Z
Western Kentucky,0.36538461538461536,1426.910055554105,0.14342791427775697,0.0,0.0,0.5952575571124498,-1.3251707807444217,-0.37158251566513023,-0.5915398217883282,0.0,8,5,-0.308765985724533,1450.5974422840748,54,1683.4289876803216,Conference USA,WKU,2022,17,2026-06-21T03:41:21Z
Missouri,0.03750000000000001,1628.4857457907235,1.5309469547695176,0.0,0.0,-0.33840986376352167,1.4881865387736997,1.5996572835532317,-0.5915398217883282,0.0,5,7,-0.30948335304589214,1450.4826635126572,55,1553.6117878619498,SEC,MIZ,2022,17,2026-06-21T03:41:21Z
Air Force,0.5875,1378.4712571148063,-0.024866549342047562,0.0,0.0,1.2277419389961726,-2.0012227787700625,-0.6106774289557529,-0.5915398217883282,0.0,9,3,-0.3504342651901555,1443.9305175695752,56,1666.7137972511182,Mountain West,AF,2022,17,2026-06-21T03:41:21Z
Vanderbilt,-0.04999999999999998,1649.245360629173,1.395742581400174,0.0,0.0,-0.5875703778389275,1.7779249208552474,1.4075732587317993,-0.5915398217883282,0.0,4,7,-0.35662280860470075,1442.940350623248,57,1351.3320174133082,SEC,VAN,2022,17,2026-06-21T03:41:21Z
Liberty,0.3125,1438.2571581459251,-0.1326233197940024,0.0,0.0,0.4446660376163254,-1.1668012169614714,-0.7637668124894356,-0.5915398217883282,0.0,7,5,-0.4072027079991096,1434.8475667201424,58,1417.5465288406804,FBS Independents,LIB,2022,17,2026-06-21T03:41:21Z
Toledo,0.36538461538461536,1440.723246800859,-0.33480784525864427,0.0,0.0,0.5952575571124498,-1.1323824407697856,-1.0510091289917922,-0.5915398217883282,0.0,8,5,-0.42941493812851195,1431.293609899438,59,1506.3162291279568,Mid-American,TOL,2022,17,2026-06-21T03:41:21Z
