school,record,schedule,results,elite_wins,playoff_raw,record_z,schedule_z,results_z,elite_wins_z,playoff_z,wins,losses,poll_score,poll_rating,rank,solver_rating,conference,abbreviation,season,week,as_of
Georgia State,-0.10000000000000002,1471.5722035843912,-0.17482718600550623,0.0,0.0,-0.7299478144534454,-0.7018288444280262,-0.8237255866245409,-0.5915398217883282,0.0,4,8,-1.4746984933723173,1264.0482410604293,109,1507.5161540205747,Sun Belt,GAST,2022,17,2026-06-21T03:41:21Z
Temple,-0.35000000000000003,1473.9714679172348,0.23855616775786923,0.0,0.0,-1.4418349975260336,-0.668342723833123,-0.2364343888158804,-0.5915398217883282,0.0,2,9,-1.5114723269662331,1258.1644276854026,110,1329.1024274809245,American Athletic,TEM,2022,17,2026-06-21T03:41:21Z
Virginia Tech,-0.32,1461.437334205816,0.2563117662711809,0.0,0.0,-1.356408535557323,-0.8432794772652752,-0.2112091188001424,-0.5915398217883282,0.0,2,8,-1.5216934678056648,1256.5290451510937,111,1372.6614165728372,ACC,VT,2022,17,2026-06-21T03:41:21Z
Miami (OH),0.03750000000000001,1429.5947727991795,-0.4107647498006355,0.0,0.0,-0.33840986376352167,-1.287700642835426,-1.1589206378713652,-0.5915398217883282,0.0,5,7,-1.582237234141803,1246.8420425373115,112,1406.052702287303,Mid-American,M-OH,2022,17,2026-06-21T03:41:21Z
UNLV,-0.04999999999999998,1442.849479885125,-0.4462536076445709,0.0,0.0,-0.5875703778389275,-1.102706970460843,-1.209339440762873,-0.5915398217883282,0.0,4,7,-1.618420872572962,1241.052660388326,113,1342.6556849123851,Mountain West,UNLV,2022,17,2026-06-21T03:41:21Z
Old Dominion,-0.23750000000000004,1462.3644822205042,-0.2653061402669588,0.0,0.0,-1.121485765143369,-0.8303394315170094,-0.9522684825610325,-0.5915398217883282,0.0,3,9,-1.6356209847360317,1238.300642442235,114,1330.4088484146653,Sun Belt,ODU,2022,17,2026-06-21T03:41:21Z
Western Michigan,-0.04999999999999998,1445.6726136092652,-0.5318118232970955,0.0,0.0,-0.5875703778389275,-1.063304977504921,-1.330891473508016,-0.5915398217883282,0.0,4,7,-1.6389249219814936,1237.7720124829611,115,1360.1995631507816,Mid-American,WMU,2022,17,2026-06-21T03:41:21Z
Arkansas State,-0.35000000000000003,1501.2957436054583,-0.4099592303349239,0.0,0.0,-1.4418349975260336,-0.2869824967255904,-1.1577762413020083,-0.5915398217883282,0.0,2,9,-1.6486951215992467,1236.2087805441206,116,1249.3857750908342,Sun Belt,ARST,2022,17,2026-06-21T03:41:21Z
Florida Atlantic,-0.04999999999999998,1425.6966212760224,-0.49947364388636833,0.0,0.0,-0.5875703778389275,-1.3421064747459674,-1.2849488201617265,-0.5915398217883282,0.0,4,7,-1.6892350145714143,1229.7223976685736,117,1479.4765834093191,Conference USA,FAU,2022,17,2026-06-21T03:41:21Z
Central Michigan,-0.2,1461.616943399709,-0.585933358589519,0.0,0.0,-1.0147026876824805,-0.8407727025659109,-1.407781607084428,-0.5915398217883282,0.0,3,8,-1.719475854112574,1224.8838633419882,118,1358.085275452805,Mid-American,CMU,2022,17,2026-06-21T03:41:21Z
New Mexico State,0.09999999999999996,1338.0077176273335,-0.15835545942712068,0.0,0.0,-0.16043806799537474,-2.565965456109099,-0.8003243056002107,-0.5915398217883282,0.0,5,6,-1.731119706417216,1223.0208469732454,119,1472.0218435683116,FBS Independents,NMSU,2022,17,2026-06-21T03:41:21Z
UTEP,0.03750000000000001,1398.5513728665421,-0.5807224070741007,0.0,0.0,-0.33840986376352167,-1.7209680488440307,-1.4003784401950212,-0.5915398217883282,0.0,5,7,-1.7355059360213734,1222.3190502365803,120,1421.7283328128676,Conference USA,UTEP,2022,17,2026-06-21T03:41:21Z
Texas State,-0.2,1434.1421012147393,-0.3949552748943654,0.0,0.0,-1.0147026876824805,-1.2242343604322716,-1.1364602137398603,-0.5915398217883282,0.0,3,8,-1.7387202844404772,1221.8047544895237,121,1290.0739241410724,Sun Belt,TXST,2022,17,2026-06-21T03:41:21Z
New Mexico,-0.5,1515.8876083011567,-0.5360716769884125,0.0,0.0,-1.8689673073695863,-0.08332634503948011,-1.3369434215462894,-0.5915398217883282,0.0,1,10,-1.7579452920462535,1218.7287532725995,122,1155.175374156033,Mountain West,UNM,2022,17,2026-06-21T03:41:21Z
Nevada,-0.35000000000000003,1474.0473402787309,-0.5671818706833955,0.0,0.0,-1.4418349975260336,-0.66728378630294,-1.381141483110337,-0.5915398217883282,0.0,2,9,-1.7859690633402625,1214.244949865558,123,1198.3886857538669,Mountain West,NEV,2022,17,2026-06-21T03:41:21Z
Colorado State,-0.2,1448.3361187314024,-0.6669831619241217,0.0,0.0,-1.0147026876824805,-1.0261308935558966,-1.5229285660734484,-0.5915398217883282,0.0,3,8,-1.7878899262877357,1213.9376117939623,124,1268.3967061114186,Mountain West,CSU,2022,17,2026-06-21T03:41:21Z
Akron,-0.5,1481.5062636732146,-0.4129171952068584,0.0,0.0,-1.8689673073695863,-0.5631808723902407,-1.1619786038715199,-0.5915398217883282,0.0,1,10,-1.821521731821476,1208.5565229085637,125,1377.4947439961607,Mid-American,AKR,2022,17,2026-06-21T03:41:21Z
Hawai'i,-0.375,1466.9409974075877,-0.6234238005288836,0.0,0.0,-1.5130237158332922,-0.7664657943519649,-1.4610440482362035,-0.5915398217883282,0.0,2,10,-1.845474787501143,1204.724033999817,126,1224.6110759755206,Mountain West,HAW,2022,17,2026-06-21T03:41:21Z
Louisiana Tech,-0.35000000000000003,1452.0434156858114,-0.6114542568747017,0.0,0.0,-1.4418349975260336,-0.9743887861119351,-1.4440389909065092,-0.5915398217883282,0.0,2,9,-1.8686275651693225,1201.0195895729084,127,1253.698015796646,Conference USA,LT,2022,17,2026-06-21T03:41:21Z
Charlotte,-0.2,1443.8910209362114,-0.9319297525010061,0.0,0.0,-1.0147026876824805,-1.0881703607326918,-1.8993365639249693,-0.5915398217883282,0.0,3,8,-1.8918765285509958,1197.2997554318408,128,1192.9304122065794,Conference USA,CLT,2022,17,2026-06-21T03:41:21Z
Northern Illinois,-0.35000000000000003,1438.2668948602288,-0.589388094301366,0.0,0.0,-1.4418349975260336,-1.1666653233106932,-1.412689728942388,-0.5915398217883282,0.0,2,9,-1.9034045804816602,1195.4552671229344,129,1268.4938449313113,Mid-American,NIU,2022,17,2026-06-21T03:41:21Z
Florida International,-0.2,1437.5302655645942,-0.9853235674228124,0.0,0.0,-1.0147026876824805,-1.176946331988935,-1.9751928296297345,-0.5915398217883282,0.0,3,8,-1.9296127459965127,1191.2619606405578,130,1078.4069929279888,Conference USA,FIU,2022,17,2026-06-21T03:41:21Z
Massachusetts,-0.65,1473.7805982008838,-0.47790224189470315,0.0,0.0,-2.2960996172131396,-0.6710066597121972,-1.254302461524487,-0.5915398217883282,0.0,0,11,-1.9784555314283425,1183.4471149714652,131,1123.6907363805265,FBS Independents,MASS,2022,17,2026-06-21T03:41:21Z
