school,record,schedule,results,elite_wins,playoff_raw,record_z,schedule_z,results_z,elite_wins_z,playoff_z,wins,losses,poll_score,poll_rating,rank,solver_rating,conference,abbreviation,season,week,as_of
Alabama,0.8821428571428571,1671.9484601957754,2.3444955345223604,19.257049514824807,0.0,1.9148941476894292,1.9065369335283784,2.467032477083719,6.555859897769047,0.0,13,1,2.427218783963254,1888.3550054341208,1,2036.7705795050733,SEC,ALA,2018,17,2026-06-21T03:41:17Z
Clemson,1.0,1612.9964839305035,1.9488422366272558,10.981210361646529,0.0,2.225980602000664,1.171672057173811,1.9664223366344544,3.512624611352425,0.0,14,0,1.8002316154800195,1788.0370584768032,2,2200.38720962747,ACC,CLEM,2018,17,2026-06-21T03:41:17Z
LSU,0.5875,1670.9843314753282,1.9851088388606286,9.902394016519768,0.0,1.137178011911343,1.8945186030528538,2.012309553888182,3.115916566610893,0.0,9,3,1.6316429880272656,1761.0628780843626,3,1788.0753053540545,SEC,LSU,2018,17,2026-06-21T03:41:17Z
Georgia,0.6192307692307693,1664.5589585132598,1.6809394223695904,9.363849771295817,0.0,1.2209320573028293,1.8144232236196804,1.62745166158693,2.917880232164649,0.0,10,3,1.5157070753789794,1742.5131320606367,4,1874.1990376372241,SEC,UGA,2018,17,2026-06-21T03:41:17Z
Oklahoma,0.7642857142857142,1603.0846101626096,1.9376763877603205,5.066059197396382,0.0,1.6038076933781946,1.0481157601277307,1.9522944696376436,1.337473981386257,0.0,12,2,1.3033724976135417,1708.5395996181667,5,1804.30631419651,Big 12,OU,2018,17,2026-06-21T03:41:17Z
Texas A&M,0.45,1713.4750204313139,1.835903503877296,3.3608204489565843,0.0,0.7742438152149027,2.424185577156572,1.8235238061156755,0.7104145817332392,0.0,8,4,1.271727973840736,1703.4764758145177,6,1888.5458600071142,SEC,TA&M,2018,17,2026-06-21T03:41:17Z
Florida,0.5499999999999999,1640.6982011411199,1.651275081263645,6.7257481856573955,0.0,1.0381959582668592,1.5169873507813798,1.589918118845377,1.9477835826323477,0.0,8,3,1.2579382164127062,1701.2701146260329,7,1823.7839171510548,SEC,FLA,2018,17,2026-06-21T03:41:17Z
Mississippi State,0.3125,1675.166319927547,1.9444285497254161,5.6238906377353155,0.0,0.41130961851846254,1.9466491103157015,1.960837809899599,1.5426027050952111,0.0,7,5,1.221768758173488,1695.483001307758,8,1871.511039685504,SEC,MSST,2018,17,2026-06-21T03:41:17Z
Kentucky,0.5875,1610.6880149756264,1.2613013684977321,8.497566708269204,0.0,1.137178011911343,1.1428958759401135,1.0964942142352796,2.5993260485184857,0.0,9,3,1.1741676340128293,1687.8668214420527,9,1713.0845379075704,SEC,UK,2018,17,2026-06-21T03:41:17Z
Notre Dame,0.8730769230769231,1591.714809651997,1.497444264353858,4.024375636332716,0.0,1.890964420434719,0.9063857015999149,1.3952798654343055,0.9544206001358951,0.0,12,1,1.1595416553882667,1685.5266648621227,10,1820.8819097750754,FBS Independents,ND,2018,17,2026-06-21T03:41:17Z
Auburn,0.3125,1649.1430962154434,1.5962519257952381,4.018486560309842,0.0,0.41130961851846254,1.6222570494034407,1.520298707776286,0.9522550379946448,0.0,7,5,0.9620244468691163,1653.9239114990587,11,1878.7052134591077,SEC,AUB,2018,17,2026-06-21T03:41:17Z
Texas,0.5285714285714286,1570.6588679422402,1.7105373150781449,4.526372734675124,0.0,0.9816347847557259,0.6439132115947824,1.6649011288469249,1.1390176246887067,0.0,10,4,0.9559246889670219,1652.9479502347235,12,1691.0051608673032,Big 12,TEX,2018,17,2026-06-21T03:41:17Z
Missouri,0.3125,1634.2912974185008,1.581409524743415,2.6236494821940926,0.0,0.41130961851846254,1.437122199344351,1.5015189920133014,0.4393381800958399,0.0,7,5,0.8449792879671675,1635.1966860747468,13,1776.3565806038835,SEC,MIZ,2018,17,2026-06-21T03:41:17Z
Ohio State,0.8821428571428571,1522.3801420140821,0.814916565091134,4.989581635120545,0.0,1.9148941476894292,0.042095559204188594,0.5316947791828284,1.3093512482314482,0.0,13,1,0.8180494231804547,1630.8879077088727,14,1814.5585162948796,Big Ten,OSU,2018,17,2026-06-21T03:41:17Z
Boise State,0.6192307692307693,1525.3462990144808,1.033140276660607,5.91973544220773,0.0,1.2209320573028293,0.07907013979395326,0.8078077383805465,1.6513923192490476,0.0,10,3,0.7599065475596032,1621.5850476095366,15,1765.0314465117217,Mountain West,BOIS,2018,17,2026-06-21T03:41:17Z
Iowa,0.45,1568.1136981233788,1.4225172951860412,2.4648011408915433,0.0,0.7742438152149027,0.6121864396911094,1.3004766608152887,0.3809256289946,0.0,8,4,0.7014283953428321,1612.228543254853,16,1807.7810509000908,Big Ten,IOWA,2018,17,2026-06-21T03:41:17Z
Michigan,0.6192307692307693,1572.6208538136807,0.9899159468461911,2.396173170695012,0.0,1.2209320573028293,0.6683703137339492,0.7531170838748513,0.3556893893007648,0.0,10,3,0.6950284185522758,1611.2045469683642,17,1729.1047932370532,Big Ten,MICH,2018,17,2026-06-21T03:41:17Z
West Virginia,0.4,1569.1615111600443,1.6521406294438215,1.2223536839920732,0.0,0.6422677436889246,0.6252479356139441,1.5910132751308141,-0.07595371246806888,0.0,7,4,0.6757538254800539,1608.1206120768086,18,1701.6083247308336,Big 12,WVU,2018,17,2026-06-21T03:41:17Z
