school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Alabama,4.212997550369207,17.381662638436357,13,0,Ohio State,0.7724663338930237,,,0.75,3.254154759714206,2311.430908408559,1907.117720944541,0.0,0.0,0.0,13,0,3.254154759714206,2020.664761554273,1,SEC,ALA,2020,17,2026-09-23T04:17:05Z,
Ohio State,2.126037012534114,9.275405348954024,8,0,Clemson,0.6708287550152806,Alabama,-0.07589653676232498,0.5,2.2891949632138737,2104.836204420279,1907.117720944541,0.0,0.0,0.0,7,1,2.2891949632138737,1866.2711941142197,2,Big Ten,OSU,2020,17,2026-09-23T04:17:05Z,
Texas A&M,1.7159717216477461,-0.32125302078220414,10,0,Florida,0.4383754690474614,Alabama,-0.06343042749086474,0.0,1.8011274232680872,1927.163634875898,1907.117720944541,0.0,0.0,0.0,9,1,1.8011274232680872,1788.180387722894,3,SEC,TA&M,2020,17,2026-09-23T04:17:05Z,
Oklahoma,1.2875834540901563,6.703539932972922,10,1,Iowa State,0.5832767393092179,Kansas State,-0.8960766263317368,0.0,1.772639769495899,2094.3915475012896,1907.117720944541,0.0,0.0,-0.02288831658144974,9,2,1.7497514529144493,1779.960232466312,4,Big 12,OU,2020,17,2026-09-23T04:17:05Z,
Clemson,0.6785017666049233,4.889527246408449,11,1,Notre Dame,0.4515404771360273,Notre Dame,-0.5004053279259443,0.25,1.6144584767942947,2022.2809290072762,1907.117720944541,0.0,0.0,0.049742462180238256,10,2,1.664200938974533,1766.2721502359252,5,ACC,CLEM,2020,17,2026-09-23T04:17:05Z,
Notre Dame,1.1367963816462296,-1.5207600350002304,12,0,Clemson,0.6269393104127745,Clemson,-0.3291712449847194,0.25,1.664200938974533,1875.6636076395864,1907.117720944541,0.0,0.0,-0.049742462180238256,10,2,1.6144584767942947,1758.3133562870871,6,FBS Independents,ND,2020,17,2026-09-23T04:17:05Z,
Georgia,0.9076315731065218,2.473646185241541,10,0,Cincinnati,0.43572018072907626,Florida,-0.5137291990286608,0.0,1.5649782907762853,1953.491663877493,1907.117720944541,0.0,0.0,0.0,8,2,1.5649782907762853,1750.3965265242057,7,SEC,UGA,2020,17,2026-09-23T04:17:05Z,
Ball State,1.047711763787711,-1.6872879578549766,8,0,Buffalo,0.4537107179669011,Miami (OH),-0.7485340980536673,0.0,1.5417938467559584,1891.1141760883195,1907.117720944541,0.0,0.0,0.0,7,1,1.5417938467559584,1746.6870154809533,8,Mid-American,BALL,2020,17,2026-09-23T04:17:05Z,
Northwestern,0.6437316947811511,-1.0798600385431454,9,0,Iowa,0.6372652621147212,Michigan State,-0.8960167455666721,0.0,1.4100108982991684,1878.7025516143178,1907.117720944541,0.0,0.0,0.0,7,2,1.4100108982991684,1725.601743727867,9,Big Ten,NU,2020,17,2026-09-23T04:17:05Z,
Iowa State,0.7209885091436746,1.0690230526653168,12,0,Oklahoma,0.7241006917633567,Louisiana,-0.8391555149839138,0.0,1.4747078343190998,1961.5080308543738,1907.117720944541,0.0,0.0,-0.11081459646286329,9,3,1.3638932378562365,1718.222918056998,10,Big 12,ISU,2020,17,2026-09-23T04:17:05Z,
