school,quality_z,game_value_z,market_z,talent_prior_z,solver_rating,power_score,power_rating,rank,conference,abbreviation,season,week,as_of
Notre Dame,2.163986127459464,0.985897418669509,0.0,2.1399828939742482,2055.089205453637,1.51265545291789,1742.0248724668625,1,FBS Independents,ND,2025,16,2026-06-19T00:37:11Z
Texas Tech,1.8770872977661255,1.5304994228811168,0.0,-1.8650689150610842,2082.482919842972,1.4980780260305946,1739.6924841648952,2,Big 12,TTU,2025,16,2026-06-19T00:37:11Z
Miami,1.8775539409081494,1.1663481785501424,0.0,0.39981426374041185,1924.0447510897081,1.3980648748051452,1723.6903799688232,3,ACC,MIA,2025,16,2026-06-19T00:37:11Z
Indiana,1.5246964942718322,1.5750931141492905,0.0,-1.7685534674876,2056.2314664223227,1.3082441781782785,1709.3190685085247,4,Big Ten,IU,2025,16,2026-06-19T00:37:11Z
Oregon,1.5441501030517464,1.4768419927683656,0.0,1.430782874914743,1932.0498295299326,1.2923452018891681,1706.7752323022669,5,Big Ten,ORE,2025,16,2026-06-19T00:37:11Z
Vanderbilt,1.3877470791106354,1.5337373260189668,0.0,0.854564757280649,1838.1896529230537,1.2183080294529094,1694.9292847124655,6,SEC,VAN,2025,16,2026-06-19T00:37:11Z
Ohio State,1.476883271551492,1.1619793202757756,0.0,2.8558092818068896,1979.1175310720528,1.1670566352713252,1686.729061643412,7,Big Ten,OSU,2025,16,2026-06-19T00:37:11Z
South Florida,1.8151281554250578,0.22172408255662235,0.0,1.044015952066154,1888.1231435470127,1.1021277677752317,1676.3404428440372,8,American Athletic,USF,2025,16,2026-06-19T00:37:11Z
Ole Miss,1.1377060930463818,1.4894565425028965,0.0,-1.9334078252227167,1771.7195675997232,1.062702585426475,1670.0324136682361,9,SEC,MISS,2025,16,2026-06-19T00:37:11Z
Toledo,1.9479711408357843,-0.2641911012572619,0.0,0.234615877618629,1813.5712926843644,1.044507593669425,1667.121214987108,10,Mid-American,TOL,2025,16,2026-06-19T00:37:11Z
Georgia,1.2868089689409672,1.0150296633844629,0.0,2.396746853783601,1830.302738061939,1.0175719660061768,1662.8115145609884,11,SEC,UGA,2025,16,2026-06-19T00:37:11Z
SMU,1.1188614861408366,1.0724126393375502,0.0,-0.23565118335015497,1801.3975660272765,0.9370477437721404,1649.9276390035425,12,ACC,SMU,2025,16,2026-06-19T00:37:11Z
James Madison,1.5349505156103107,-0.055911276624905346,0.0,0.5070029151338956,1919.8879036272308,0.8649756986577648,1638.3961117852423,13,Sun Belt,JMU,2025,16,2026-06-19T00:37:11Z
Washington,0.9600907145889142,1.1401218330042624,0.0,0.04053234605289517,1719.773155347153,0.8646304922992463,1638.3408787678795,14,Big Ten,WASH,2025,16,2026-06-19T00:37:11Z
Utah,1.0574426582646277,0.7471040335641765,0.0,-0.6474086218317407,1806.73856769709,0.8122366817271067,1629.9578690763371,15,Big 12,UTAH,2025,16,2026-06-19T00:37:11Z
Missouri,0.6497735960619513,1.3908020826257714,0.0,-0.30378404241699036,1635.3622713000107,0.7556806394201008,1620.908902307216,16,SEC,MIZ,2025,16,2026-06-19T00:37:11Z
Tulane,1.1493241660405888,0.33670717052179583,0.0,-0.673669277341895,1681.3645189267056,0.7519194102922097,1620.3071056467536,17,American Athletic,TULN,2025,16,2026-06-19T00:37:11Z
Boise State,0.9121671297398386,0.7597981135698315,0.0,-2.3865987630982475,1689.592758219343,0.7324094560755441,1617.185512972087,18,Mountain West,BOIS,2025,16,2026-06-19T00:37:11Z
Penn State,1.054226290642967,0.4568702642909857,0.0,3.397727478390117,1721.4042432812114,0.7304666971506452,1616.8746715441032,19,Big Ten,PSU,2025,16,2026-06-19T00:37:11Z
North Texas,1.159232499938729,0.1536808203427301,0.0,-0.059076959613382704,1763.8578627649108,0.707200135738691,1613.1520217181906,20,American Athletic,UNT,2025,16,2026-06-19T00:37:11Z
Tennessee,0.5342980943568664,1.3505935705552146,0.0,-2.4972563498736116,1641.2479728824596,0.6783768184838165,1608.5402909574107,21,SEC,TENN,2025,16,2026-06-19T00:37:11Z
Old Dominion,1.5268108630648327,-0.7978225777496623,0.0,0.19381378298032903,1714.2457604355416,0.6559979758570054,1604.9596761371208,22,Sun Belt,ODU,2025,16,2026-06-19T00:37:11Z
Oklahoma,0.3396177241858505,1.541956030809362,0.0,-0.5382182159402635,1711.830327654259,0.6194154912984158,1599.1064786077466,23,SEC,OU,2025,16,2026-06-19T00:37:11Z
