school,quality_z,game_value_z,market_z,talent_prior_z,solver_rating,power_score,power_rating,rank,conference,abbreviation,season,week,as_of
North Texas,0.0,0.0,0.0,-0.7603599308312029,1450.0037475839888,-0.0969591017218412,1484.4865437245055,119,American Athletic,UNT,2026,0,2026-08-24T12:48:51Z
Old Dominion,0.0,0.0,0.0,-0.7868126517148716,1448.2603575935766,-0.10033228322573147,1483.946834683883,120,Sun Belt,ODU,2026,0,2026-08-24T12:48:51Z
Coastal Carolina,0.0,0.0,0.0,-0.8170658575651341,1446.2664932765872,-0.10419009259272531,1483.329585185164,121,Sun Belt,CCU,2026,0,2026-08-24T12:48:51Z
UConn,0.0,0.0,0.0,-0.9240575888287829,1439.2151084998675,-0.11783339720985271,1481.1466564464235,122,FBS Independents,CONN,2026,0,2026-08-24T12:48:51Z
New Mexico State,0.0,0.0,0.0,-0.9332684608977777,1438.6080578210858,-0.11900794342891538,1480.9587290513734,123,Conference USA,NMSU,2026,0,2026-08-24T12:48:51Z
Georgia Southern,0.0,0.0,0.0,-0.9567498935846754,1437.0604932099857,-0.1220022340643709,1480.4796425497007,124,Sun Belt,GASO,2026,0,2026-08-24T12:48:51Z
Penn State,0.0,0.0,0.0,-1.0203455789373805,1432.8691632607947,-0.13011178886224467,1479.182113782041,125,Big Ten,PSU,2026,0,2026-08-24T12:48:51Z
Oklahoma State,0.0,0.0,0.0,-1.0253979461119025,1432.536182528919,-0.13075605345713862,1479.079031446858,126,Big 12,OKST,2026,0,2026-08-24T12:48:51Z
Tennessee,0.0,0.0,0.0,-1.054410832518277,1430.6240625630267,-0.13445570054564937,1478.487087912696,127,SEC,TENN,2026,0,2026-08-24T12:48:51Z
San José State,0.0,0.0,0.0,-1.1854663756323014,1421.986730960814,-0.15116755925986763,1475.8131905184212,128,Mountain West,SJSU,2026,0,2026-08-24T12:48:51Z
Buffalo,0.0,0.0,0.0,-1.186710616589645,1421.9047281589005,-0.15132622159944895,1475.7878045440882,129,Mid-American,BUF,2026,0,2026-08-24T12:48:51Z
Houston,0.0,0.0,0.0,-1.2442575472218176,1418.1120467449816,-0.15866445507901303,1474.613687187358,130,Big 12,HOU,2026,0,2026-08-24T12:48:51Z
UTEP,0.0,0.0,0.0,-1.2481273098017602,1417.85700661596,-0.15915791704145213,1474.5347332733677,131,Mountain West,UTEP,2026,0,2026-08-24T12:48:51Z
Ball State,0.0,0.0,0.0,-1.280438571626061,1415.7275042978506,-0.1632781643019287,1473.8754937116914,132,Mid-American,BALL,2026,0,2026-08-24T12:48:51Z
Kennesaw State,0.0,0.0,0.0,-1.294008956145916,1414.8331360911923,-0.16500862410091727,1473.5986201438532,133,Conference USA,KENN,2026,0,2026-08-24T12:48:51Z
Bowling Green,0.0,0.0,0.0,-1.2993500563584852,1414.481126152807,-0.16568970717462808,1473.4896468520594,134,Mid-American,BGSU,2026,0,2026-08-24T12:48:51Z
Iowa,0.0,0.0,0.0,-1.6053815789242465,1394.3118477054945,-0.20471404331252324,1467.2457530699962,135,Big Ten,IOWA,2026,0,2026-08-24T12:48:51Z
Missouri,0.0,0.0,0.0,-2.0494261893687744,1365.0466945082137,-0.261337446002958,1458.1860086395268,136,SEC,MIZ,2026,0,2026-08-24T12:48:51Z
Louisville,0.0,0.0,0.0,-2.140329431855435,1359.055635828685,-0.27292918877861194,1456.331329795422,137,ACC,LOU,2026,0,2026-08-24T12:48:51Z
Massachusetts,0.0,0.0,0.0,-2.7247151219083383,1320.5411795253506,-0.34744851741378496,1444.4082372137943,138,Mid-American,MASS,2026,0,2026-08-24T12:48:51Z
