school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Georgia,3.8829710965585296,14.433819484580207,14,1,Alabama,0.7740249922160436,Alabama,-0.22597500778395643,0.75,2.794631933052152,2181.4046612014818,1843.1883603838694,0.0,0.0,-0.015889767499705165,14,1,2.7787421655524467,1944.5987464883915,1,SEC,UGA,2021,17,2026-09-23T04:17:05Z,
Alabama,3.208393454563035,8.302879202251729,14,1,Georgia,0.8900100593375426,Texas A&M,-0.5281872180212454,0.5,2.4264114680515623,2042.3448214517987,1843.1883603838694,0.0,0.0,0.015889767499705165,13,2,2.4423012355512674,1890.7681976882027,2,SEC,ALA,2021,17,2026-09-23T04:17:05Z,
Michigan,2.2898397164882835,6.373120122186115,14,0,Ohio State,0.7271150668498678,Michigan State,-0.5401470738800034,0.25,2.0709002971625363,1990.8879461047961,1843.1883603838694,0.0,0.0,-0.028649187531522458,12,2,2.042251109631014,1826.760177540962,3,Big Ten,MICH,2021,17,2026-09-23T04:17:05Z,
Ohio State,1.700013894138091,8.400026179088865,13,0,Utah,0.47501643838516905,Oregon,-0.8157629468760027,0.0,1.879858170003233,2032.9112498507143,1843.1883603838694,0.0,0.0,0.0,11,2,1.879858170003233,1800.7773072005173,4,Big Ten,OSU,2021,17,2026-09-23T04:17:05Z,
Cincinnati,1.7453208003525715,2.3938458179533435,13,1,Notre Dame,0.6022259882735754,Alabama,-0.22597500778395643,0.25,1.8470826570249739,1890.3541191068084,1843.1883603838694,0.0,0.0,0.0,13,1,1.8470826570249739,1795.5332251239959,5,American Athletic,CIN,2021,17,2026-09-23T04:17:05Z,
Baylor,1.6690360081374496,-0.23431706095576477,13,1,Oklahoma State,0.5648633744274207,TCU,-0.8853959386454904,0.0,1.7083655550689438,1851.7148066236832,1843.1883603838694,0.0,0.0,0.11186094675554714,12,2,1.820226501824491,1791.2362402919184,6,Big 12,BAY,2021,17,2026-09-23T04:17:05Z,
Michigan State,1.9172074222162787,-2.7727085306232677,12,1,Michigan,0.6726615422223268,Purdue,-0.5629074567223912,0.0,1.7281986722255813,1785.9635989031744,1843.1883603838694,0.0,0.0,0.028649187531522458,11,2,1.7568478597571038,1781.0956575611367,7,Big Ten,MSU,2021,17,2026-09-23T04:17:05Z,
Oklahoma State,2.0067427995286824,0.8063630938830418,13,1,Notre Dame,0.5552538154507383,Iowa State,-0.538458298491384,0.0,1.820226501824491,1885.395572643334,1843.1883603838694,0.0,0.0,-0.11186094675554714,12,2,1.7083655550689438,1773.338488811031,8,Big 12,OKST,2021,17,2026-09-23T04:17:05Z,
Oklahoma,1.1986628469072809,-1.5929946287916807,12,1,Kansas State,0.3697483405681623,Baylor,-0.4389221987753971,0.0,1.554275639526582,1819.2017365548238,1843.1883603838694,0.0,0.0,0.0,11,2,1.554275639526582,1748.6841023242532,9,Big 12,OU,2021,17,2026-09-23T04:17:05Z,
Notre Dame,0.8702522346607355,0.9015193240797351,13,0,Wisconsin,0.4676468101461845,Cincinnati,-0.4753324746533628,0.0,1.511704728050954,1879.0865447680283,1843.1883603838694,0.0,0.0,0.0,11,2,1.511704728050954,1741.8727564881526,10,FBS Independents,ND,2021,17,2026-09-23T04:17:05Z,
Ole Miss,0.8238430079457386,-2.2239438666843308,12,1,Tennessee,0.41715336365134803,Auburn,-0.6131240734535255,0.0,1.4400175427196882,1777.4177961879504,1843.1883603838694,0.0,0.0,0.0,10,3,1.4400175427196882,1730.4028068351502,11,SEC,MISS,2021,17,2026-09-23T04:17:05Z,
Arkansas,0.09170167084369418,-2.5244801222477813,12,1,Texas A&M,0.4241657179147539,Auburn,-0.6997520826484905,0.0,1.2344317579977344,1800.7716001085334,1843.1883603838694,0.0,0.0,0.0,9,4,1.2344317579977344,1697.5090812796375,12,SEC,ARK,2021,17,2026-09-23T04:17:05Z,
Clemson,0.3735835812358411,-2.504623611427256,12,1,Iowa State,0.41411864398567955,NC State,-0.5714376646238288,0.0,1.311774488191219,1810.2388834202598,1843.1883603838694,0.0,0.0,-0.10870676982626049,10,3,1.2030677183649585,1692.4908349383934,13,ACC,CLEM,2021,17,2026-09-23T04:17:05Z,
