school,quality_z,game_value_z,market_z,talent_prior_z,solver_rating,power_score,power_rating,rank,conference,abbreviation,season,week,as_of
Georgia,2.6683150460499814,1.8458178747798157,0.0,3.4650560692896093,2131.8048710988483,1.8380840377051801,1794.0934460328288,1,SEC,UGA,2023,17,2026-06-21T03:41:22Z
Missouri,1.6839862481944623,1.8227576300981776,0.0,0.4732465131986297,1921.1499053105538,1.3383815148969442,1714.1410423835111,2,SEC,MIZ,2023,17,2026-06-21T03:41:22Z
Michigan,1.625939776215812,1.4683582373568607,0.0,3.610216774688593,2025.1799409884507,1.325481568120233,1712.0770508992373,3,Big Ten,MICH,2023,17,2026-06-21T03:41:22Z
Washington,0.8231172808587619,1.4452208229928345,0.0,1.9260385514326632,1780.9571850340385,1.0844085255688847,1673.5053640910214,4,Pac-12,WASH,2023,17,2026-06-21T03:41:22Z
Alabama,0.8362301147924088,1.7485503184101523,0.0,2.4819367689023317,1895.3868060271225,0.9310101697395295,1648.9616271583247,5,SEC,ALA,2023,17,2026-06-21T03:41:22Z
Texas,0.9001112926202717,1.6017899288675648,0.0,1.27124466544741,1874.92711249829,0.911605318714006,1645.8568509942409,6,Big 12,TEX,2023,17,2026-06-21T03:41:22Z
Notre Dame,1.6356130665591488,1.0586178296528086,0.0,0.14876338654225946,1970.0169396340607,0.9070567087462803,1645.129073399405,7,FBS Independents,ND,2023,17,2026-06-21T03:41:22Z
Ohio State,0.8326215675791233,1.262826600947923,0.0,3.2120720809614047,1907.1491332431235,0.8993856425455253,1643.901702807284,8,Big Ten,OSU,2023,17,2026-06-21T03:41:22Z
Oregon,1.4294333287342211,1.2924762615761225,0.0,0.8248053797138097,1999.2739031286837,0.8858399199442842,1641.7343871910855,9,Pac-12,ORE,2023,17,2026-06-21T03:41:22Z
Kansas State,1.1874867893466976,1.6306710716768855,0.0,-0.3859272588112896,1807.0782293490263,0.8832376093012054,1641.318017488193,10,Big 12,KSU,2023,17,2026-06-21T03:41:22Z
LSU,1.1101776442994042,1.1266678724529118,0.0,3.022703276473858,1843.9169425581001,0.850411042058024,1636.065766729284,11,SEC,LSU,2023,17,2026-06-21T03:41:22Z
Ole Miss,0.7194463953758059,1.397337847083397,0.0,-1.2451722006694719,1767.6998764006019,0.8478871233136185,1635.661939730179,12,SEC,MISS,2023,17,2026-06-21T03:41:22Z
Arizona,1.252129891150316,1.2983239493649803,0.0,0.8224847545629188,1825.1961700803079,0.7993271627577319,1627.892346041237,13,Pac-12,ARIZ,2023,17,2026-06-21T03:41:22Z
Oklahoma,1.060649680816492,1.5350581706653275,0.0,-0.9298528214226888,1780.465378162044,0.7864577610102259,1625.8332417616361,14,Big 12,OU,2023,17,2026-06-21T03:41:22Z
Penn State,0.764906779527634,1.1445546736213983,0.0,1.6276786268782855,1857.4149017183875,0.7822132496777208,1625.1541199484354,15,Big Ten,PSU,2023,17,2026-06-21T03:41:22Z
Oklahoma State,0.6117616125054646,1.2851003447276705,0.0,-0.39871263251209416,1561.8460514087292,0.6008608240041564,1596.137731840665,16,Big 12,OKST,2023,17,2026-06-21T03:41:22Z
NC State,0.8009583479117784,0.9275236590185367,0.0,-0.13915193513413399,1664.9869814121084,0.5843399040425928,1593.4943846468148,17,ACC,NCSU,2023,17,2026-06-21T03:41:22Z
