school,record,schedule,results,elite_wins,playoff_raw,record_z,schedule_z,results_z,elite_wins_z,playoff_z,wins,losses,poll_score,poll_rating,rank,solver_rating,conference,abbreviation,season,week,as_of
LSU,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.013688266627957106,1497.8098773395268,64,1533.2134409305245,SEC,LSU,2026,0,2026-06-21T03:29:00Z
Western Kentucky,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.042387500842588,1493.217999865186,65,1487.0495487337068,Conference USA,WKU,2026,0,2026-06-21T03:29:00Z
UConn,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.047577257622698134,1492.3876387803682,66,1490.7952506353674,FBS Independents,CONN,2026,0,2026-06-21T03:29:00Z
Rutgers,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.07064458505029927,1488.6968663919522,67,1501.968931430306,Big Ten,RUTG,2026,0,2026-06-21T03:29:00Z
Washington State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.1137516675152617,1481.7997331975582,68,1494.1596275488835,Pac-12,WSU,2026,0,2026-06-21T03:29:00Z
Florida State,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.1423695631290764,1477.2208698993477,69,1519.1399993520872,ACC,FSU,2026,0,2026-06-21T03:29:00Z
Nebraska,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.17204607397438382,1472.4726281640985,70,1518.5575290882318,Big Ten,NEB,2026,0,2026-06-21T03:29:00Z
Purdue,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.17336197292264569,1472.2620843323766,71,1490.9488759036954,Big Ten,PUR,2026,0,2026-06-21T03:29:00Z
Louisiana Tech,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.18118299308421826,1471.0107211065251,72,1481.6206631043656,Sun Belt,LT,2026,0,2026-06-21T03:29:00Z
Northwestern,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.2015642899805677,1467.7497136031093,73,1505.6177761379147,Big Ten,NU,2026,0,2026-06-21T03:29:00Z
