school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Indiana,2378.385173539759,5,0.002203731748243558,2.810002734675646,2.36805873526926,1684.7603712525895,1.2832691752227605,2.9679095790139565,15,1.0,0.0,2.6111279349427723,1917.7804695908435,16,0,1,Big Ten,IU,2025,17,2026-09-23T04:15:14Z
Ohio State,2237.642987200045,5,0.002203731748243558,2.2755112067588787,2.3637628286430354,1919.1686215629265,2.891478854861581,0.5266834444528117,13,1.0,0.0,2.3152244366067496,1870.4359098570799,12,2,2,Big Ten,OSU,2025,17,2026-09-23T04:15:14Z
Oregon,2188.42901681113,5,0.002203731748243558,2.0886130853631397,2.0712644826603808,1832.1192944364386,2.29425768066859,0.4275027669565144,14,1.0,0.0,2.0808062141468984,1832.9289942635037,13,2,3,Big Ten,ORE,2025,17,2026-09-23T04:15:14Z
Notre Dame,2200.1429130523275,5,0.002203731748243558,2.1330985268831664,1.796464001089846,1872.687027332307,2.572581590504372,1.1140429841417225,12,1.0,-0.025550264662449473,1.9560627256137226,1812.9700360981956,10,2,4,FBS Independents,ND,2025,17,2026-09-23T04:15:14Z
Miami,2158.319016106541,5,0.002203731748243558,1.9742654210222905,1.7708167511973587,1735.2387026052488,1.6295869391491038,1.1927720776782544,15,1.0,0.025550264662449473,1.9082637842635206,1805.3222054821633,13,3,5,ACC,MIA,2025,17,2026-09-23T04:15:14Z
Texas Tech,2181.9656969160783,5,0.002203731748243558,2.064067568372359,1.6394171284552255,1568.0197012365068,0.482343971955261,1.6431627547591594,13,1.0,0.0,1.872974870409649,1799.675979265544,12,2,6,Big 12,TTU,2025,17,2026-09-23T04:15:14Z
Utah,2070.232961080132,5,0.002203731748243558,1.6397441849688437,1.2695081607612306,1529.2974745185709,0.2166815656939262,1.8448351500865774,12,1.0,0.0,1.4731379740754178,1735.7020758520669,11,2,7,Big 12,UTAH,2025,17,2026-09-23T04:15:14Z
Ole Miss,2031.4411465195826,5,0.002203731748243558,1.49242590908896,1.3959358127785524,1741.5947650249748,1.673194112080342,1.0462174660248449,14,1.0,0.0,1.4490053657492767,1731.8408585198843,13,2,8,SEC,MISS,2025,17,2026-09-23T04:15:14Z
Texas A&M,1997.2141910692599,5,0.002203731748243558,1.3624434341086062,1.519616534009452,1678.3200096384514,1.2390836490114658,-0.29414459704123214,12,1.0,0.0,1.433171329063987,1729.307412650238,11,2,9,SEC,TA&M,2025,17,2026-09-23T04:15:14Z
Georgia,2029.3498211951849,5,0.002203731748243558,1.4844837582877046,1.3189179027471263,1837.12123531945,2.3285746031079255,0.0367545915310824,13,1.0,0.0,1.4099791232944443,1725.596659727111,12,2,10,SEC,UGA,2025,17,2026-09-23T04:15:14Z
Washington,1994.5620364222157,5,0.002203731748243558,1.352371442004202,1.415714597826522,1557.2289867562731,0.4083118871017815,1.5664685207344227,12,1.0,0.0,1.3808758621242458,1720.9401379398794,9,4,11,Big Ten,WASH,2025,17,2026-09-23T04:15:14Z
Iowa,2033.6486687147747,5,0.002203731748243558,1.5008093365580373,1.2284047453288598,1610.9412377141523,0.7768166721991068,1.5566649194958433,12,1.0,0.0,1.3782272705049075,1720.5163632807853,9,4,12,Big Ten,IOWA,2025,17,2026-09-23T04:15:14Z
Vanderbilt,1998.4419035585697,5,0.002203731748243558,1.3671058735755464,1.2036676053382267,1498.3474995973058,0.004342413010262298,1.8550297534150206,12,1.0,-0.02314351018199723,1.2704151426867551,1703.2664228298809,10,3,13,SEC,VAN,2025,17,2026-09-23T04:15:14Z
Penn State,1969.3839960797393,5,0.002203731748243558,1.2567537057547626,1.1936477735440738,1851.0838148136345,2.424367969875288,-0.19253880828441455,12,1.0,0.0,1.2283560362599526,1696.5369658015925,7,6,14,Big Ten,PSU,2025,17,2026-09-23T04:15:14Z
Alabama,1970.16610087999,5,0.002203731748243558,1.2597238769631875,1.10443897978443,1819.9894971779254,2.211038522053774,-0.3985813770438701,14,1.0,0.02314351018199723,1.212989183414744,1694.078269346359,11,4,15,SEC,ALA,2025,17,2026-09-23T04:15:14Z
USC,1981.9643350502606,5,0.002203731748243558,1.3045296055964395,1.0424995883957204,1639.2398857352907,0.9709658099023877,0.1822369819533577,13,1.0,0.0,1.186616097856116,1689.8585756569785,9,4,16,Big Ten,USC,2025,17,2026-09-23T04:15:14Z
BYU,1959.0651976579427,5,0.002203731748243558,1.2175663769362468,1.1008685804115643,1575.0156320915778,0.5303411039005481,1.085503492753975,13,1.0,0.0,1.1650523685001397,1686.4083789600224,12,2,17,Big 12,BYU,2025,17,2026-09-23T04:15:14Z
Oklahoma,1930.8179353658256,5,0.002203731748243558,1.1102927671208005,1.2536586229633193,1659.5229728626641,1.110122418119095,-0.028204783964994894,12,1.0,-0.01174161957571096,1.163065782674223,1686.0905252278758,10,3,18,SEC,OU,2025,17,2026-09-23T04:15:14Z
Texas,1944.8132204205879,5,0.002203731748243558,1.163442156703928,0.9075499004759895,1861.0300156164808,2.492606081740344,-0.16220417796509254,13,1.0,0.01174161957571096,1.0600322609770667,1669.6051617563307,10,3,19,SEC,TEX,2025,17,2026-09-23T04:15:14Z
SMU,1910.449782087622,5,0.002203731748243558,1.0329413655997766,0.8808272395355035,1678.4901132834189,1.2402506827144872,0.5926378925946666,12,1.0,0.0,0.9644900088708537,1654.3184014193366,9,4,20,ACC,SMU,2025,17,2026-09-23T04:15:14Z
Missouri,1868.1622610246834,5,0.002203731748243558,0.8723475711408318,1.0488293434481764,1608.597120021484,0.7607343339769204,0.1779723238382889,12,1.0,0.0,0.9517643686791368,1652.282298988662,8,5,21,SEC,MIZ,2025,17,2026-09-23T04:15:14Z
Louisville,1845.0313979107923,5,0.002203731748243558,0.7845043260605282,0.9977819607371567,1622.270569436867,0.8545440598494439,-0.3715918486631898,12,1.0,0.04384814672383419,0.9243274083888452,1647.8923853422152,9,4,22,ACC,LOU,2025,17,2026-09-23T04:15:14Z
Michigan,1886.8183619029571,5,0.002203731748243558,0.9431971729747075,0.8499473342400057,1749.761533852613,1.7292240370620442,-0.5185820076324965,13,1.0,0.0,0.9012347455440917,1644.1975592870547,9,4,23,Big Ten,MICH,2025,17,2026-09-23T04:15:14Z
James Madison,1868.3959064966073,5,0.002203731748243558,0.8732348781276509,0.9867738342636382,1521.1784394403644,0.16097912866446049,1.687590132972075,13,1.0,-0.04384814672383419,0.880479261665011,1640.8766818664017,12,2,24,Sun Belt,JMU,2025,17,2026-09-23T04:15:14Z
Illinois,1883.0069141790204,5,0.002203731748243558,0.9287225753396773,0.8168355566679848,1588.137971025851,0.6203698143476425,-0.48564717183923983,12,1.0,0.0,0.8783734169374156,1640.5397467099865,9,4,25,Big Ten,ILL,2025,17,2026-09-23T04:15:14Z
Arizona,1879.835466238901,5,0.002203731748243558,0.9166784818144329,0.7887752982774043,1417.8535388813941,-0.5479042191130251,1.5484571569972903,12,1.0,0.0,0.85912204922277,1637.4595278756433,9,4,26,Big 12,ARIZ,2025,17,2026-09-23T04:15:14Z
South Florida,1873.1417182169744,5,0.002203731748243558,0.8912578762321542,0.8079090653065385,1470.2234422848917,-0.18860890649603254,1.4922803345087503,12,1.0,0.0,0.8537509113156272,1636.6001458105004,9,4,27,American Athletic,USF,2025,17,2026-09-23T04:15:14Z
