school,quality_z,game_value_z,market_z,talent_prior_z,solver_rating,power_score,power_rating,rank,conference,abbreviation,season,week,as_of
Charlotte,-0.5539748077820323,-1.284177702509521,0.0,-0.09113285104790537,1409.6908347318752,-0.7396756245760504,1381.651900067832,113,Conference USA,CLT,2019,17,2026-06-21T03:41:18Z
Kent State,-1.0279598718671472,-0.903261192391185,0.0,0.31645074433146175,1473.5510447488596,-0.7452369239376588,1380.7620921699745,114,Mid-American,KENT,2019,17,2026-06-21T03:41:18Z
Utah State,-1.166140645929524,-0.4594639916326307,0.0,-0.07249665642542762,1402.2294942962674,-0.7570901712176359,1378.8655726051782,115,Mountain West,USU,2019,17,2026-06-21T03:41:18Z
Old Dominion,-0.7787461681979544,-1.153641485744476,0.0,-1.3305281969449343,1176.8190402958444,-0.7923025674127111,1373.2315892139663,116,Conference USA,ODU,2019,17,2026-06-21T03:41:18Z
Troy,-0.8804934628326855,-0.9720936085375829,0.0,-0.4907743777727322,1362.4605915739444,-0.7936479545870908,1373.0163272660654,117,Sun Belt,TROY,2019,17,2026-06-21T03:41:18Z
Northern Illinois,-0.22990599093031502,-1.3981408874268972,0.0,-0.1783684416811507,1307.5481879552872,-0.7996584692529121,1372.054644919534,118,Mid-American,NIU,2019,17,2026-06-21T03:41:18Z
Coastal Carolina,-0.8212643847715697,-1.3829437657364678,0.0,-0.6120724628716784,1328.731005075433,-0.8097093175090895,1370.4465091985458,119,Sun Belt,CCU,2019,17,2026-06-21T03:41:18Z
Florida International,-0.4616285707563189,-1.3940276152780384,0.0,0.40965702595143866,1382.3808194072672,-0.8159582066065867,1369.4466869429461,120,Conference USA,FIU,2019,17,2026-06-21T03:41:18Z
Nevada,-1.3063548801191618,-0.9522283145349038,0.0,-0.32064430353933404,1339.0051902211155,-0.8174063570448635,1369.2149828728218,121,Mountain West,NEV,2019,17,2026-06-21T03:41:18Z
Texas State,-0.9882398305805267,-1.0312644237150237,0.0,-1.0357553048390102,1216.3243172083453,-0.910151461456651,1354.3757661669358,122,Sun Belt,TXST,2019,17,2026-06-21T03:41:18Z
New Mexico,-1.4589411158619867,-0.7106492493026757,0.0,0.16062591271040777,1202.6349283463926,-0.9771556019943756,1343.6551036808999,123,Mountain West,UNM,2019,17,2026-06-21T03:41:18Z
Central Michigan,-1.9073228878537494,-0.952710793154733,0.0,-1.6478401560194855,1439.9531751102318,-1.1177389063251013,1321.1617749879838,124,Mid-American,CMU,2019,17,2026-06-21T03:41:18Z
UTEP,-0.39898425636185075,-1.8829622741420982,0.0,-1.394607976582049,1070.560439633092,-1.1376142287543847,1317.9817233992985,125,Conference USA,UTEP,2019,17,2026-06-21T03:41:18Z
UConn,-1.638458200714297,-0.9621426675366768,0.0,-2.08692522053968,1002.3792902746701,-1.154747428806451,1315.240411390968,126,American Athletic,CONN,2019,17,2026-06-21T03:41:18Z
New Mexico State,-1.3450153291111357,-1.308676246224797,0.0,-0.38115732769020966,1171.2448994144197,-1.2273398442100925,1303.6256249263852,127,FBS Independents,NMSU,2019,17,2026-06-21T03:41:18Z
Bowling Green,-2.0279847848922516,-1.4420100986793545,0.0,-1.1853628243785517,973.3810300041825,-1.4750778753337628,1263.987539946598,128,Mid-American,BGSU,2019,17,2026-06-21T03:41:18Z
Akron,-0.8363562010899855,-2.3666899104168992,0.0,0.28106495353423677,876.2221991541581,-1.525191500148237,1255.969359976282,129,Mid-American,AKR,2019,17,2026-06-21T03:41:18Z
Massachusetts,-1.544436723931171,-2.3094786872393023,0.0,-1.1233106162738768,714.7844497067525,-1.5368519651951709,1254.1036855687726,130,FBS Independents,MASS,2019,17,2026-06-21T03:41:18Z
