school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Georgia,2181.4046612014818,5,1.6590057413639474e-07,2.8131196054379166,2.5900054238233787,1812.771027038987,2.2114585814932255,1.3575474760943118,14,1.0,0.0,2.7127182237113745,1934.03491579382,14,1,1,SEC,UGA,2021,17,2026-09-23T04:17:05Z
Alabama,2042.3448214517987,5,1.6590057413639474e-07,2.21116850947054,1.9764377828745048,2000.9464506903441,3.5312486450001455,-0.4244296977454166,14,1.0,0.0,2.105539682502324,1836.8863492003718,13,2,2,SEC,ALA,2021,17,2026-09-23T04:17:05Z
Ohio State,2032.9112498507143,5,1.6590057413639474e-07,2.1703332203289643,1.8616151677191235,1874.5803308805398,2.644965271471511,1.1498780565391828,13,1.0,0.0,2.031410096654536,1825.025615464726,11,2,3,Big Ten,OSU,2021,17,2026-09-23T04:17:05Z
Michigan,1990.8879461047961,5,1.6590057413639474e-07,1.9884261090338566,1.6748871848986804,1588.9914709429734,0.6419548236661421,1.7680783471616743,14,1.0,0.0,1.8473335931730275,1795.5733749076844,12,2,4,Big Ten,MICH,2021,17,2026-09-23T04:17:05Z
Oklahoma State,1885.395572643334,5,1.6590057413639474e-07,1.5317791724658767,1.5809571789844177,1590.5864584285002,0.6531414525785147,1.2777259069173312,13,1.0,0.0,1.5539092753992203,1748.6254840638753,12,2,5,Big 12,OKST,2021,17,2026-09-23T04:17:05Z
Cincinnati,1890.3541191068084,5,1.6590057413639474e-07,1.5532433312299487,1.273568629399546,1725.3552341408226,1.5983578235837894,0.49511717546719747,13,1.0,0.0,1.4273897154062676,1728.382354465003,13,1,6,American Athletic,CIN,2021,17,2026-09-23T04:17:05Z
Wisconsin,1822.2251760468005,5,1.6590057413639474e-07,1.2583322194676165,1.6292419998649152,1711.3918923149786,1.50042431325864,-0.013634008624430908,13,1.0,-0.02336319449739932,1.4018784261490018,1724.3005481838404,9,4,7,Big Ten,WIS,2021,17,2026-09-23T04:17:05Z
Notre Dame,1879.0865447680283,5,1.6590057413639474e-07,1.5044691579364111,1.0989110506137187,1762.211370294806,1.8568525904955828,1.8440116650516816,13,1.0,0.02336319449739932,1.345331204138599,1715.2529926621758,11,2,8,FBS Independents,ND,2021,17,2026-09-23T04:17:05Z
Baylor,1851.7148066236832,5,1.6590057413639474e-07,1.3859845702640878,1.1672211222741766,1519.3580506997364,0.1535727898076892,1.6386442444136675,13,1.0,0.0,1.2875410186686276,1706.0065629869805,12,2,9,Big 12,BAY,2021,17,2026-09-23T04:17:05Z
Utah,1827.0094561240592,5,1.6590057413639474e-07,1.279042027857334,1.1673200718919796,1601.539405955139,0.7299612148581697,1.0507419180147988,13,1.0,0.0,1.2287671476729245,1696.602743627668,10,4,10,Pac-12,UTAH,2021,17,2026-09-23T04:17:05Z
Oklahoma,1819.2017365548238,5,1.6590057413639474e-07,1.2452445967645958,0.9939643323498064,1847.2131156676496,2.453022147321848,-0.515409187631256,12,1.0,0.0,1.1321684777779406,1681.1469564444706,11,2,11,Big 12,OU,2021,17,2026-09-23T04:17:05Z
Arkansas,1800.7716001085334,5,1.6590057413639474e-07,1.1654656983231564,0.9422310463264967,1467.9996483553186,-0.20663529569308833,0.6050575991389403,12,1.0,0.018043402474151593,1.0830535073988112,1673.2885611838099,9,4,12,SEC,ARK,2021,17,2026-09-23T04:17:05Z
Iowa State,1787.063103345754,5,1.6590057413639474e-07,1.106125455552316,1.08068569747155,1730.284073174801,1.6329268053107655,-0.09677412334642455,12,1.0,-0.031387186261581324,1.0632903781543899,1670.1264605047024,7,6,13,Big 12,ISU,2021,17,2026-09-23T04:17:05Z
Purdue,1771.0758670337757,5,1.6590057413639474e-07,1.036921187542172,1.087723187743019,1484.4933891152907,-0.09095454024331455,1.220581933011245,13,1.0,-0.0004583281483589996,1.059323759484194,1669.491801517471,9,4,14,Big Ten,PUR,2021,17,2026-09-23T04:17:05Z
Texas A&M,1793.7388207292445,5,1.6590057413639474e-07,1.135022766253911,1.0195355243536894,1756.5708146968461,1.8172919024610048,0.2243943938108199,11,1.0,-0.025416031525621996,1.0576374758731892,1669.2219961397102,8,4,15,SEC,TA&M,2021,17,2026-09-23T04:17:05Z
