school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Indiana,5.315853528933452,14.095676467228634,15,1,Ohio State,0.7910409046723494,,,0.75,3.2260228206412727,2378.385173539759,2022.305378670481,0.0,0.0,0.0,16,0,3.2260228206412727,2016.1636513026037,1,Big Ten,IU,2025,17,2026-09-23T04:15:32Z,
Oregon,3.3015692411584543,7.139802367646499,14,1,Texas Tech,0.7284980620195947,Indiana,-0.11831875123433652,0.25,2.431971662307404,2188.42901681113,2022.305378670481,0.0,0.0,0.0,13,2,2.431971662307404,1889.1154659691847,2,Big Ten,ORE,2025,17,2026-09-23T04:15:32Z,
Miami,2.3167664473063834,5.540172738254853,15,1,Ohio State,0.7910409046723494,Louisville,-0.7839321533024356,0.5,2.207362129347647,2158.319016106541,2022.305378670481,0.0,0.0,0.0,13,3,2.207362129347647,1853.1779406956234,3,ACC,MIA,2025,17,2026-09-23T04:15:32Z,
Ohio State,2.069477461861327,9.531230666985236,13,1,Washington,0.5053294412482169,Miami,-0.3013594664672607,0.1,2.1024026323162555,2237.642987200045,2022.305378670481,0.0,0.0,0.0,12,2,2.1024026323162555,1836.384421170601,4,Big Ten,OSU,2025,17,2026-09-23T04:15:32Z,
Texas Tech,0.9571309418723345,6.59508305693595,13,1,Utah,0.6198977249997197,Arizona State,-0.8173890804510894,0.1,1.7535350009912625,2181.9656969160783,2022.305378670481,0.0,0.0,0.0,12,2,1.7535350009912625,1780.5656001586021,5,Big 12,TTU,2025,17,2026-09-23T04:15:32Z,
Ole Miss,1.3743398022079751,-0.4130908360728191,14,1,Georgia,0.5108854171215558,Georgia,-0.4411796950355746,0.25,1.7851115996366733,2031.4411465195826,2022.305378670481,0.0,0.0,-0.04296795084300897,13,2,1.7421436487936643,1778.7429838069863,6,SEC,MISS,2025,17,2026-09-23T04:15:32Z,
BYU,1.515174718608554,-2.416004353935018,13,1,Utah,0.5258419142898748,Texas Tech,-0.27150193798040534,0.0,1.7213748093418169,1959.0651976579427,2022.305378670481,0.0,0.0,0.0,12,2,1.7213748093418169,1775.4199694946906,7,Big 12,BYU,2025,17,2026-09-23T04:15:32Z,
Georgia,1.2962604843592653,-0.3091249707188645,13,1,Ole Miss,0.4659651919318336,Alabama,-0.6260131470501941,0.1,1.72572399955317,2029.3498211951849,2022.305378670481,0.0,0.0,-0.0596230829688269,12,2,1.666100916584343,1766.576146653495,8,SEC,UGA,2025,17,2026-09-23T04:15:32Z,
Notre Dame,0.6136800578264785,7.283066258413211,12,0,USC,0.39121345594090395,Texas A&M,-0.5861179889875762,0.0,1.646426656806683,2200.1429130523275,2022.305378670481,0.0,0.0,0.0,10,2,1.646426656806683,1763.4282650890693,9,FBS Independents,ND,2025,17,2026-09-23T04:15:32Z,
Texas A&M,1.298129502327627,-0.6488254481091557,12,1,Notre Dame,0.7845216767840943,Texas,-0.5710722483144712,0.0,1.6935591282931326,1997.2141910692599,2022.305378670481,0.0,0.0,-0.0602402682675367,11,2,1.633318860025596,1761.3310176040955,10,SEC,TA&M,2025,17,2026-09-23T04:15:32Z,
Alabama,0.6674224201456224,-1.8291513251893623,14,1,Georgia,0.5588203049644254,Florida State,-0.7412043243317837,0.1,1.5309060671768415,1970.16610087999,2022.305378670481,0.0,0.0,0.060769110725274356,11,4,1.5916751779021159,1754.6680284643385,11,SEC,ALA,2025,17,2026-09-23T04:15:32Z,
Texas,0.4806523700985827,-4.151303050436115,13,0,Vanderbilt,0.41572434008523973,Florida,-0.8016770790553198,0.0,1.4140396648282059,1944.8132204205879,2022.305378670481,0.0,0.0,0.0602402682675367,10,3,1.4742799330957426,1735.8847892953188,12,SEC,TEX,2025,17,2026-09-23T04:15:32Z,
Utah,0.15104319169299507,2.086308344438153,12,1,Kansas State,0.14842161036244406,BYU,-0.5493690947383318,0.0,1.4329367594601738,2070.232961080132,2022.305378670481,0.0,0.0,0.0,11,2,1.4329367594601738,1729.2698815136278,13,Big 12,UTAH,2025,17,2026-09-23T04:15:32Z,
Oklahoma,0.1019051290343379,-3.8786756231144937,12,1,Alabama,0.4676710580228449,Alabama,-0.6260131470501941,0.0,1.3171409471618003,1930.8179353658256,2022.305378670481,0.0,0.0,0.04182192308656152,10,3,1.3589628702483618,1717.434059239738,14,SEC,OU,2025,17,2026-09-23T04:15:32Z,
USC,-0.5901139194851064,-1.1113687536873198,13,0,Iowa,0.46936261947929947,TCU,-0.7954971358173349,0.0,1.1791315793094257,1981.9643350502606,2022.305378670481,0.0,0.0,0.12209256844459904,9,4,1.3012241477540247,1708.195863640644,15,Big Ten,USC,2025,17,2026-09-23T04:15:32Z,
Iowa,-0.19129485691562897,-0.2324481453604041,12,1,Vanderbilt,0.46318590524813363,Iowa State,-0.7782475561010977,0.0,1.3012241477540247,2033.6486687147747,2022.305378670481,0.0,0.0,-0.03424354646251615,9,4,1.2669806012915086,1702.7168962066414,16,Big Ten,IOWA,2025,17,2026-09-23T04:15:32Z,
Vanderbilt,-0.25335870334376953,-1.2553251321519976,12,1,Tennessee,0.31195592655369764,Texas,-0.5710722483144712,0.0,1.2669806012915086,1998.4419035585697,2022.305378670481,0.0,0.0,-0.08784902198208289,10,3,1.1791315793094257,1688.661052689508,17,SEC,VAN,2025,17,2026-09-23T04:15:32Z,
Washington,-1.1348097838663151,-2.0232489009962844,12,1,Illinois,0.2584641672304996,Wisconsin,-0.8216787953763535,0.0,1.017344486795605,1994.5620364222157,2022.305378670481,0.0,0.0,0.11875858348062707,9,4,1.136103070276232,1681.7764912441971,18,Big Ten,WASH,2025,17,2026-09-23T04:15:32Z,
James Madison,-0.44476760291092515,-7.078976561416689,13,1,Old Dominion,0.13838957826820553,Louisville,-0.7115811526033073,0.0,1.1154558212016026,1868.3959064966073,2022.305378670481,0.0,0.0,-0.04950754145463865,12,2,1.065948279746964,1670.5517247595142,19,Sun Belt,JMU,2025,17,2026-09-23T04:15:32Z,
Illinois,-0.3041708992364792,-5.52923742154949,12,1,USC,0.39121345594090395,Wisconsin,-0.8216787953763535,0.0,1.179827319834351,1883.0069141790204,2022.305378670481,0.0,0.0,-0.11875858348062707,9,4,1.061068736353724,1669.7709978165958,20,Big Ten,ILL,2025,17,2026-09-23T04:15:32Z,
Michigan,-0.7399028554562691,-5.999141495976118,13,0,Washington,0.4099104153702182,Texas,-0.6175245571871956,0.0,1.0548701900562134,1886.8183619029571,2022.305378670481,0.0,0.0,0.0,9,4,1.0548701900562134,1668.7792304089942,21,Big Ten,MICH,2025,17,2026-09-23T04:15:32Z,
Tulane,-0.7836880609419677,-13.705934326710535,14,0,North Texas,0.2077791136729188,UTSA,-0.8572252819255001,0.0,0.910545731679255,1725.6003213611411,2022.305378670481,0.0,0.0,0.12132279545423208,11,3,1.031868527133487,1665.098964341358,22,American Athletic,TULN,2025,17,2026-09-23T04:15:32Z,
Navy,-0.2500391386123859,-14.973974409507473,12,1,South Florida,0.24694868917223878,North Texas,-0.7216599322373075,0.0,1.031868527133487,1707.3983223705332,2022.305378670481,0.0,0.0,-0.08618372476953273,11,2,0.9456848023639544,1651.3095683782326,23,American Athletic,NAVY,2025,17,2026-09-23T04:15:32Z,
North Texas,-0.8905458207226705,-7.1680334824770915,13,1,Washington State,0.11991199431803534,Tulane,-0.8377247120159924,0.0,0.9943557809729812,1837.0024598481546,2022.305378670481,0.0,0.0,-0.08381004929372615,12,2,0.910545731679255,1645.6873170686808,24,American Athletic,UNT,2025,17,2026-09-23T04:15:32Z,
Old Dominion,-1.2524381087121608,-11.049197308985239,12,1,South Florida,0.2845249787992541,Marshall,-0.9626971381489384,0.0,0.8305201173807923,1757.680560696047,2022.305378670481,0.0,0.0,0.0,10,3,0.8305201173807923,1632.8832187809267,25,Sun Belt,ODU,2025,17,2026-09-23T04:15:32Z,
Louisville,-1.5134807971522939,-7.9120509367032525,12,1,Miami,0.737624791226605,California,-0.9450832845976774,0.0,0.8144709041108801,1845.0313979107923,2022.305378670481,0.0,0.0,-0.019998730272122178,9,4,0.7944721738387579,1627.1155478142014,26,ACC,LOU,2025,17,2026-09-23T04:15:32Z,
Virginia,-1.0706377782637617,-7.824281364096344,13,1,Louisville,0.28841884739669266,Wake Forest,-0.8695922185272866,0.0,0.9347615100438725,1848.9457251412439,2022.305378670481,0.0,0.0,-0.1441601738991588,11,3,0.7906013361447137,1626.4962137831542,27,ACC,UVA,2025,17,2026-09-23T04:15:32Z,
South Florida,-2.1148222812176956,-5.67288391834513,12,1,North Texas,0.2783400677626925,Memphis,-0.8854249786389582,0.0,0.6916977381910347,1873.1417182169744,2022.305378670481,0.0,0.0,0.048670978609026805,9,4,0.7403687168000616,1618.4589946880099,28,American Athletic,USF,2025,17,2026-09-23T04:15:32Z,
Houston,-1.1550222590263055,-13.16550076092211,12,1,Arizona,0.2547243399846719,West Virginia,-0.9485683770744671,0.0,0.8202424423986663,1737.4015616423314,2022.305378670481,0.0,0.0,-0.08231179989746029,10,3,0.737930642501206,1618.068902800193,29,Big 12,HOU,2025,17,2026-09-23T04:15:32Z,
Penn State,-2.158777955089949,-2.8516745336735387,12,1,Clemson,0.21108979455945565,UCLA,-0.9104054713945742,0.0,0.7284411884843636,1969.3839960797393,2022.305378670481,0.0,0.0,0.0,7,6,0.7284411884843636,1616.5505901574982,30,Big Ten,PSU,2025,17,2026-09-23T04:15:32Z,
NC State,-1.8786795654513033,-10.195460926438303,12,1,Virginia,0.22019476305907493,Virginia Tech,-0.943988427738317,0.0,0.6772345877979993,1825.282190367452,2022.305378670481,0.0,0.0,0.015791546866822603,8,5,0.6930261346648219,1610.8841815463716,31,ACC,NCSU,2025,17,2026-09-23T04:15:32Z,
Wake Forest,-2.289028075083621,-13.608376622583181,12,1,Virginia,0.29341045251808895,Georgia Tech,-0.8341924380695257,0.0,0.5084571397610745,1746.5793169237768,2022.305378670481,0.0,0.0,0.17021534984585962,9,4,0.6786724896069342,1608.5875983371095,32,ACC,WAKE,2025,17,2026-09-23T04:15:32Z,
Iowa State,-2.017969185175251,-10.506422683452378,11,1,Iowa,0.46936261947929947,Colorado,-0.9392706269519874,0.0,0.6345244147738698,1788.0257552209127,2022.305378670481,0.0,0.0,0.04024025176394175,8,4,0.6747646665378115,1607.9623466460498,33,Big 12,ISU,2025,17,2026-09-23T04:15:32Z,
SMU,-1.842488712283258,-6.396818022394161,12,1,Miami,0.6565608455210098,California,-0.9212752299652455,0.0,0.7522900104517554,1910.449782087622,2022.305378670481,0.0,0.0,-0.08160664730079259,9,4,0.6706833631509628,1607.309338104154,34,ACC,SMU,2025,17,2026-09-23T04:15:32Z,
TCU,-1.7449357021497731,-10.730348017580358,12,1,USC,0.4379743308811832,Iowa State,-0.8376896342004575,0.0,0.7039060904689659,1802.572068930787,2022.305378670481,0.0,0.0,-0.03672824837791877,9,4,0.6671778420910471,1606.7484547345675,35,Big 12,TCU,2025,17,2026-09-23T04:15:32Z,
