school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Ohio State,3.748593738975456,11.705410447229317,16,0,Notre Dame,0.7562560125048773,Michigan,-0.6488382518867583,0.75,2.786200926646284,2232.6582008008677,1961.0702413283175,0.0,0.0,0.0,14,2,2.786200926646284,1945.7921482634056,1,Big Ten,OSU,2024,17,2026-09-23T04:17:06Z,
Notre Dame,2.8229482349391515,7.462125371308845,16,0,Penn State,0.6645226505802077,Northern Illinois,-0.9378896533803962,0.5,2.387039307528376,2144.225622053026,1961.0702413283175,0.0,0.0,0.0,14,2,2.387039307528376,1881.9262892045401,2,FBS Independents,ND,2024,17,2026-09-23T04:17:06Z,
Oregon,3.0428355000993483,2.8454608636919785,13,1,Ohio State,0.8154955122951839,Ohio State,-0.1572346514104148,0.1,2.255167345038501,2044.5341739225498,1961.0702413283175,0.0,0.0,0.0,13,1,2.255167345038501,1860.8267752061602,3,Big Ten,ORE,2024,17,2026-09-23T04:17:06Z,
Georgia,2.332571573487211,2.3075601384854236,13,1,Texas,0.7107880699158752,Alabama,-0.41561659573139853,0.1,2.0501298007458324,2002.0546321460788,1961.0702413283175,0.0,0.0,0.03407816226588167,11,3,2.084207963011714,1833.4732740818743,4,SEC,UGA,2024,17,2026-09-23T04:17:06Z,
Texas,2.0505156438679752,6.257181637540622,16,0,Michigan,0.44317600191359574,Georgia,-0.48487031400818736,0.25,2.084207963011714,2075.335943291722,1961.0702413283175,0.0,0.0,-0.03407816226588167,13,3,2.0501298007458324,1828.0207681193333,5,SEC,TEX,2024,17,2026-09-23T04:17:06Z,
Penn State,1.781579063080751,4.1146362979045215,16,0,USC,0.451083623597171,Oregon,-0.3737946590180651,0.25,1.97200424463237,2071.636008006809,1961.0702413283175,0.0,0.0,0.0,13,3,1.97200424463237,1815.5206791411792,6,Big Ten,PSU,2024,17,2026-09-23T04:17:06Z,
Indiana,0.9421001440576973,4.385514538970742,12,1,Michigan,0.35116174811324175,Notre Dame,-0.20997291781096905,0.0,1.6770354130625411,2067.2843093371494,1961.0702413283175,0.0,0.0,0.0,11,2,1.6770354130625411,1768.3256660900065,7,Big Ten,IU,2024,17,2026-09-23T04:17:06Z,
Tennessee,0.5494423571956519,0.7098897673439815,12,1,Alabama,0.48878682837162934,Arkansas,-0.7121203303543172,0.0,1.5034537421849774,1960.2408020784399,1961.0702413283175,0.0,0.0,0.0,10,3,1.5034537421849774,1740.5525987495964,8,SEC,TENN,2024,17,2026-09-23T04:17:06Z,
Illinois,0.5534493447274489,-6.522266638425877,12,1,South Carolina,0.506627176955341,Minnesota,-0.645455304009073,0.0,1.3756161588175533,1831.4753033810243,1961.0702413283175,0.0,0.0,0.0,10,3,1.3756161588175533,1720.0985854108085,9,Big Ten,ILL,2024,17,2026-09-23T04:17:06Z,
Michigan,-0.1758597950944748,-5.2907550294796035,13,0,Ohio State,0.8666636916275766,Washington,-0.7471043575962176,0.0,1.196884218386143,1892.951307629891,1961.0702413283175,0.0,0.0,0.11279358373529713,8,5,1.3096778021214401,1709.5484483394305,10,Big Ten,MICH,2024,17,2026-09-23T04:17:06Z,
Arizona State,-0.3163121575298956,-4.988961517340569,14,0,BYU,0.30996309054062376,Cincinnati,-0.8491688353808147,0.1,1.1911333035720135,1887.0861782757888,1961.0702413283175,0.0,0.0,0.10627073891430538,11,3,1.297404042486319,1707.584646797811,11,Big 12,ASU,2024,17,2026-09-23T04:17:06Z,
South Carolina,-0.21359310772718454,0.17457170057744328,12,1,Clemson,0.40669131492435906,Illinois,-0.6902209228747056,0.0,1.2839407924217499,1965.358558778936,1961.0702413283175,0.0,0.0,0.0,9,4,1.2839407924217499,1705.43052678748,12,SEC,SC,2024,17,2026-09-23T04:17:06Z,
BYU,0.4472907626870739,-4.716869968324296,12,1,SMU,0.4604533091140861,Kansas,-0.7732025280662681,0.0,1.3785918257434029,1862.8063431622434,1961.0702413283175,0.0,0.0,-0.10627073891430538,11,2,1.2723210868290975,1703.5713738926556,13,Big 12,BYU,2024,17,2026-09-23T04:17:06Z,
Alabama,-0.26705655766337955,2.405724542401221,12,1,Georgia,0.5151296859918126,Vanderbilt,-0.7021301553637969,0.0,1.3090075797271583,1985.00547280872,1961.0702413283175,0.0,0.0,-0.05050411254690679,9,4,1.2585034671802515,1701.3605547488403,14,SEC,ALA,2024,17,2026-09-23T04:17:06Z,
Ole Miss,-0.006441263527439012,4.81234128862483,12,1,South Carolina,0.5546155699492935,Kentucky,-0.8481399591378928,0.0,1.423629540751151,2069.401488463304,1961.0702413283175,0.0,0.0,-0.1684259872672349,10,3,1.255203553483916,1700.8325685574266,15,SEC,MISS,2024,17,2026-09-23T04:17:06Z,
