school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Alabama,2311.430908408559,5,0.00035138364336441316,2.9585269055354955,2.852768254820438,1880.4152854392796,2.6192172711185226,1.4680400862837404,13,1.0,0.0,2.9109355127137198,1965.7496820341953,13,0,1,SEC,ALA,2020,17,2026-09-23T04:17:05Z
Oklahoma,2094.3915475012896,5,0.00035138364336441316,2.1139378896649643,1.9492582965715401,1755.6116098275959,1.7599249262178018,1.5036435181486714,10,1.0,0.0,2.0398320727729233,1826.3731316436679,9,2,2,Big 12,OU,2020,17,2026-09-23T04:17:05Z
Ohio State,2104.836204420279,5,0.00035138364336441316,2.1545823261000847,1.8703585832475822,1941.8152165354309,3.0419651630356994,0.22452136080170598,8,1.0,0.0,2.0266816418164586,1824.2690626906333,7,1,3,Big Ten,OSU,2020,17,2026-09-23T04:17:05Z
Clemson,2022.2809290072762,5,0.00035138364336441316,1.8333259488027933,1.7939639789726343,1925.798118436553,2.9316849992790392,-0.21743769881244818,11,1.0,0.0,1.8156130623792217,1790.4980899806756,10,2,4,ACC,CLEM,2020,17,2026-09-23T04:17:05Z
Iowa State,1961.5080308543738,5,0.00035138364336441316,1.5968337197988114,1.5824842429755888,1594.0429060168335,0.6474997538046688,1.3027608990036983,12,1.0,0.0,1.5903764552283612,1754.4602328365377,9,3,5,Big 12,ISU,2020,17,2026-09-23T04:17:05Z
Texas A&M,1927.163634875898,5,0.00035138364336441316,1.4631856133960193,1.5636824103753835,1667.3747282314332,1.1524005362358476,0.7808708210851485,10,1.0,0.0,1.5084091720367332,1741.3454675258772,9,1,6,SEC,TA&M,2020,17,2026-09-23T04:17:05Z
Iowa,1967.080302308561,5,0.00035138364336441316,1.6185177094861296,1.2814191690523418,1656.679356239701,1.0787612685354608,2.2388761362551524,8,1.0,0.0,1.466823366290925,1734.691738606548,6,2,7,Big Ten,IOWA,2020,17,2026-09-23T04:17:05Z
BYU,1929.9999234837906,5,0.00035138364336441316,1.4742227736329971,1.4229718112239744,1491.9867900999272,-0.05517217254593877,1.5356140027705385,11,1.0,0.0,1.451159840548937,1732.1855744878299,11,1,8,FBS Independents,BYU,2020,17,2026-09-23T04:17:05Z
Georgia,1953.491663877493,5,0.00035138364336441316,1.565638753744919,1.2107068107962653,1811.7469184007348,2.1464250889663923,-0.12353746396815891,10,1.0,-0.023155881491652153,1.3827634979263728,1721.2421596682198,8,2,9,SEC,UGA,2020,17,2026-09-23T04:17:05Z
Florida,1898.23210966055,5,0.00035138364336441316,1.3506012033280947,1.2431121790463935,1739.2780249593293,1.6474657027750768,-0.8697937600317411,12,1.0,0.023155881491652153,1.3253870238929812,1712.061923822877,8,4,10,SEC,FLA,2020,17,2026-09-23T04:17:05Z
Texas,1933.9328244023586,5,0.00035138364336441316,1.4895273013575738,0.8995768052784447,1716.2303003261554,1.488778602835113,1.2618696140766594,10,1.0,0.0,1.2240495781219658,1695.8479324995146,7,3,11,Big 12,TEX,2020,17,2026-09-23T04:17:05Z
