school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Hawai'i,1353.471595261038,5,3.366831466081454e-05,-1.0004413805279286,-0.826462980792747,1308.6756917582472,-1.3210233981802972,-0.17804554593821253,10,1.0,0.017341374133191256,-0.9048097265139057,1355.230443757775,5,7,109,Mountain West,HAW,2024,17,2026-09-23T04:17:06Z
Akron,1353.1974481945472,5,3.366831466081454e-05,-1.0015414218411525,-0.81482112469825,1304.6591133608779,-1.3489163711020655,0.23317284401813182,11,1.0,0.0,-0.9175172881268463,1353.1972338997045,4,8,110,Mid-American,AKR,2024,17,2026-09-23T04:17:06Z
Oregon State,1375.3755337203227,5,3.366831466081454e-05,-0.9125497334059655,-1.0679676973577896,1575.953570365862,0.5350774650501228,-1.1392445225869354,11,1.0,0.04997152813966865,-0.9325162890446177,1350.7973937528611,5,7,111,Pac-12,ORST,2024,17,2026-09-23T04:17:06Z
Louisiana Tech,1342.4285226798281,5,3.366831466081454e-05,-1.044752764996711,-0.8801799511347972,1323.5749632206252,-1.2175559852881765,0.8701222898259512,12,1.0,-0.00962383818542023,-0.98031883694427,1343.148986088917,5,8,112,Conference USA,LT,2024,17,2026-09-23T04:17:06Z
Purdue,1362.3878225310339,5,3.366831466081454e-05,-0.964664166200451,-0.8932244391874882,1508.4305847133967,0.06616670965824109,-2.4333130448881555,11,1.0,-0.04997152813966865,-0.9824878171842863,1342.801949250514,1,11,113,Big Ten,PUR,2024,17,2026-09-23T04:17:06Z
Charlotte,1351.4428385796089,5,3.366831466081454e-05,-1.0085819606647808,-0.9621145358445982,1322.0147030183855,-1.228391151757351,-0.7460101323271483,11,1.0,0.0,-0.9876716194956985,1341.9725408806883,5,7,114,American Athletic,CLT,2024,17,2026-09-23T04:17:06Z
Arkansas State,1367.4211521372777,5,3.366831466081454e-05,-0.9444674499604551,-1.093153580889878,1424.5178255523324,-0.5165621922856115,-0.15426988491262256,12,1.0,0.0,-1.0113762088786955,1338.1798065794087,8,5,115,Sun Belt,ARST,2024,17,2026-09-23T04:17:06Z
Eastern Michigan,1355.061860302664,5,3.366831466081454e-05,-0.9940602900163388,-1.057721319126785,1342.5157551272878,-1.086022390396712,-0.49645735232929744,11,1.0,0.0,-1.0227077531160396,1336.3667595014338,5,7,116,Mid-American,EMU,2024,17,2026-09-23T04:17:06Z
Georgia State,1330.8114780199746,5,3.366831466081454e-05,-1.0913672673037664,-0.963392340989182,1429.0123576243343,-0.48535008860490736,-0.8295272352331571,11,1.0,0.0,-1.0337785504622035,1334.5954319260475,3,9,117,Sun Belt,GAST,2024,17,2026-09-23T04:17:06Z
UL Monroe,1352.6740618829326,5,3.366831466081454e-05,-1.003641559453135,-1.0862818476840312,1230.2835250852258,-1.8654147596738124,0.33112033558217724,11,1.0,0.0,-1.0408296891570383,1333.4672497348738,5,7,118,Sun Belt,ULM,2024,17,2026-09-23T04:17:06Z
Florida International,1321.8104348959212,5,3.366831466081454e-05,-1.127484813354191,-1.0266088116632466,1270.3924443270746,-1.5868799253812684,0.5166242187807115,11,1.0,0.04106678949714282,-1.041023823096123,1333.4361883046204,4,8,119,Conference USA,FIU,2024,17,2026-09-23T04:17:06Z
Wyoming,1342.2101393530832,5,3.366831466081454e-05,-1.045629048973096,-1.0546183740360022,1452.908068614711,-0.3194072502832353,0.24038740633236833,11,1.0,0.0,-1.0496742452514036,1332.0521207597753,3,9,120,Mountain West,WYO,2024,17,2026-09-23T04:17:06Z
New Mexico,1319.5612156819464,5,3.366831466081454e-05,-1.1365100204794794,-0.9801692345453903,1302.9807296399729,-1.3605718417659027,0.06481259179797923,11,1.0,0.0,-1.0661566668091393,1329.4149333105377,5,7,121,Mountain West,UNM,2024,17,2026-09-23T04:17:06Z
Central Michigan,1304.4421076184644,5,3.366831466081454e-05,-1.1971768869968613,-0.8083072122384194,1360.8184684730493,-0.9589199073273967,-0.6642107422509093,11,1.0,-0.045047460381148374,-1.0672329937367109,1329.2427210021262,4,8,122,Mid-American,CMU,2024,17,2026-09-23T04:17:06Z
Florida Atlantic,1314.2496594968318,5,3.366831466081454e-05,-1.1578231474661325,-1.0870332493983312,1437.6392828948974,-0.42544074060673637,-0.7169867749361054,11,1.0,0.03053772943824784,-1.0954299638973741,1324.7312057764202,3,9,123,American Athletic,FAU,2024,17,2026-09-23T04:17:06Z
Massachusetts,1283.1580907181485,5,3.366831466081454e-05,-1.2825810395978978,-1.021158097301972,1273.2950177157559,-1.5667231170423705,-0.35570958093231153,10,1.0,0.0,-1.164940715564731,1313.609485509643,2,10,124,FBS Independents,MASS,2024,17,2026-09-23T04:17:06Z
Ball State,1277.2554867230442,5,3.366831466081454e-05,-1.306265802427319,-1.149528958976444,1364.8263200018596,-0.9310875378059176,-0.2657207877663894,11,1.0,0.0,-1.2357342228744252,1302.2825243400919,3,9,125,Mid-American,BALL,2024,17,2026-09-23T04:17:06Z
Temple,1243.2125595218363,5,3.366831466081454e-05,-1.4428663023843917,-1.3511477593917345,1283.8258186604965,-1.493592378255207,-0.546389441080163,12,1.0,0.0,-1.4015929580376958,1275.7451267139686,3,9,126,American Athletic,TEM,2024,17,2026-09-23T04:17:06Z
San Diego State,1261.232380674369,5,3.366831466081454e-05,-1.3705600472840467,-1.5517988781092105,1437.9448940013685,-0.4233184361291307,-0.6196230478725491,11,1.0,0.0,-1.4521175211553703,1267.6611966151409,3,9,127,Mountain West,SDSU,2024,17,2026-09-23T04:17:06Z
UTEP,1143.9753342284955,5,3.366831466081454e-05,-1.8410651561228564,-1.3545512480267123,1337.2425565406543,-1.1226419134923917,-0.27915945265680947,11,1.0,0.0,-1.6221338974795914,1240.4585764032654,3,9,128,Conference USA,UTEP,2024,17,2026-09-23T04:17:06Z
New Mexico State,1107.4457925113363,5,3.366831466081454e-05,-1.987643434549796,-1.5711645795238023,1398.845369447425,-0.6948435681548013,-0.23731365631589194,11,1.0,0.0,-1.8002279497880989,1211.9635280339041,3,9,129,Conference USA,NMSU,2024,17,2026-09-23T04:17:06Z
Middle Tennessee,1078.5774814913937,5,3.366831466081454e-05,-2.10348029237736,-1.7533031750702088,1407.2644253962103,-0.6363777606007579,-1.3657572150431108,11,1.0,0.0,-1.945900589589142,1188.6559056657372,3,9,130,Conference USA,MTSU,2024,17,2026-09-23T04:17:06Z
Tulsa,1085.2158191936448,5,3.366831466081454e-05,-2.0768433277106078,-1.9031977730315033,1329.3963811449185,-1.1771293742614988,-3.018312199950833,11,1.0,0.0,-1.9987028281050108,1180.2075475031984,3,9,131,American Athletic,TLSA,2024,17,2026-09-23T04:17:06Z
Southern Miss,1068.7247613990592,5,3.366831466081454e-05,-2.143015273684791,-1.90179815763048,1347.4421853821789,-1.0518109865334992,-2.0956380477148726,11,1.0,0.0,-2.0344675714603513,1174.4851885663438,1,11,132,Sun Belt,USM,2024,17,2026-09-23T04:17:06Z
Kennesaw State,1085.235806474842,5,3.366831466081454e-05,-2.0767631268339852,-2.2487403170512383,1273.7670868282614,-1.5634448513969283,0.1013192871333271,11,1.0,0.0,-2.154152862431749,1155.33554201092,2,10,133,Conference USA,KENN,2024,17,2026-09-23T04:17:06Z
Kent State,984.8704153792254,5,3.366831466081454e-05,-2.4794888537086677,-2.2381924648306155,1252.5166741052778,-1.7110175184826242,-1.964257385746922,11,1.0,0.0,-2.370905478713544,1120.655123405833,0,12,134,Mid-American,KENT,2024,17,2026-09-23T04:17:06Z
