school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Michigan,3.624645620419087,9.454409333735098,15,0,Penn State,0.664870496660475,,,0.75,2.7826216380536875,2146.426675637651,1918.217825025031,0.0,0.0,0.0,15,0,2.7826216380536875,1945.21946208859,1,Big Ten,MICH,2023,17,2026-09-23T04:17:06Z,
Washington,3.9457791981367576,1.4277003497890732,15,0,Oregon,0.7610997788682179,Michigan,-0.1961109287777882,0.5,2.6501939784027844,1935.4799505356411,1918.217825025031,0.0,0.0,0.0,14,1,2.6501939784027844,1924.0310365444454,2,Pac-12,WASH,2023,17,2026-09-23T04:17:06Z,
Alabama,2.5559319133323406,3.489901904500795,13,1,Georgia,0.7975562469049744,Texas,-0.4199078767672464,0.25,2.2334886356756347,2004.9733014117437,1918.217825025031,0.0,0.0,-0.0029533440142577305,12,2,2.230535291661377,1856.8856466658203,3,SEC,ALA,2023,17,2026-09-23T04:17:06Z,
Georgia,2.49700638981542,7.862664759440279,13,1,Missouri,0.5176777877170406,Alabama,-0.36904406680457097,0.0,2.230535291661377,2140.006305622692,1918.217825025031,0.0,0.0,-0.07434654445839328,13,1,2.1561887472029837,1844.9901995524774,4,SEC,UGA,2023,17,2026-09-23T04:17:06Z,
Texas,1.6395584002094319,3.981041144653312,14,0,Alabama,0.6746180847642957,Oklahoma,-0.49478497851507597,0.25,1.9880884126209366,2001.6828893146799,1918.217825025031,0.0,0.0,0.07729988847265079,12,2,2.0653883010935874,1830.462128174974,5,Big 12,TEX,2023,17,2026-09-23T04:17:06Z,
Florida State,2.108939942605495,0.23045818621869937,13,1,LSU,0.5379250659992055,Georgia,-0.2024437530950256,0.0,1.9779498887548388,1887.346300590369,1918.217825025031,0.0,0.0,0.0,13,1,1.9779498887548388,1816.4719822007742,6,ACC,FSU,2023,17,2026-09-23T04:17:06Z,
Missouri,1.7708897799396173,-0.01429043935217459,12,1,Ohio State,0.6597885192425835,LSU,-0.5102073202747246,0.0,1.879345413026882,1960.8527264865227,1918.217825025031,0.0,0.0,0.06911654048487903,11,2,1.948461953511761,1811.7539125618819,7,SEC,MIZ,2023,17,2026-09-23T04:17:06Z,
Ohio State,1.6650359205935228,5.182480080596045,12,1,Notre Dame,0.7125609242336248,Missouri,-0.43448687049836066,0.0,1.948461953511761,2025.3603167897118,1918.217825025031,0.0,0.0,-0.07040532800140364,11,2,1.8780566255103575,1800.4890600816573,8,Big Ten,OSU,2023,17,2026-09-23T04:17:06Z,
Ole Miss,1.6134909435283533,-1.7667123615630385,12,1,Penn State,0.6206358831035559,Alabama,-0.3253819152357042,0.0,1.8023663590993522,1881.378402217057,1918.217825025031,0.0,0.0,0.0,11,2,1.8023663590993522,1788.3786174558963,9,SEC,MISS,2023,17,2026-09-23T04:17:06Z,
Oregon,0.817303036829307,7.558066842496028,13,1,Oregon State,0.29310550439667804,Washington,-0.4733467927519964,0.0,1.7578731858751595,2105.652902588061,1918.217825025031,0.0,0.0,0.0,12,2,1.7578731858751595,1781.2597097400255,10,Pac-12,ORE,2023,17,2026-09-23T04:17:06Z,
Penn State,0.07043280517505246,4.335983201160485,12,1,Maryland,0.32149410111157894,Ole Miss,-0.5566902626424663,0.0,1.4891788033615954,1997.8442064501194,1918.217825025031,0.0,0.0,0.0,10,3,1.4891788033615954,1738.2686085378552,11,Big Ten,PSU,2023,17,2026-09-23T04:17:06Z,
LSU,0.27818136780480923,0.9079554514565658,12,1,Missouri,0.6121586070348916,Florida State,-0.547567438654933,0.0,1.4819229880599314,1942.804184239736,1918.217825025031,0.0,0.0,0.0012887875165246143,10,3,1.483211775576456,1737.313884092233,12,SEC,LSU,2023,17,2026-09-23T04:17:06Z,
Notre Dame,-0.28468994481935417,3.9060811309069114,12,1,Oregon State,0.334584621278617,Louisville,-0.6602302251397062,0.0,1.3823180531674348,2033.8811259253998,1918.217825025031,0.0,0.0,-0.004997983306311404,10,3,1.3773200698611234,1720.3712111777797,13,FBS Independents,ND,2023,17,2026-09-23T04:17:06Z,
Arizona,-0.41909619104593887,-2.9047777913857304,12,1,Oklahoma,0.505215021484924,Mississippi State,-0.8964484002437774,0.0,1.2158135680158788,1898.6190184005077,1918.217825025031,0.0,0.0,0.09461465912732536,10,3,1.3104282271432042,1709.6685163429127,14,Pac-12,ARIZ,2023,17,2026-09-23T04:17:06Z,
Liberty,0.26338148669038464,-10.111491766835487,14,0,Jacksonville State,0.10643148627462751,Oregon,-0.2389002211317821,0.0,1.268862159069702,1669.5205173229328,1918.217825025031,0.0,0.0,0.0,13,1,1.268862159069702,1703.0179454511524,15,Conference USA,LIB,2023,17,2026-09-23T04:17:06Z,
Oklahoma,-0.1767242252987029,1.5354849911548927,13,0,Texas,0.6262069785754036,Oklahoma State,-0.7677111707395939,0.0,1.367377497865536,1921.5922888552604,1918.217825025031,0.0,0.0,-0.16169975795724945,10,3,1.2056777399082865,1692.9084383853258,16,Big 12,OU,2023,17,2026-09-23T04:17:06Z,
Tennessee,-0.6530890945952684,-3.4372391950698296,12,1,Texas A&M,0.28423951041200335,Florida,-0.7700148027544071,0.0,1.140677091147201,1856.1390804846603,1918.217825025031,0.0,0.0,0.0,9,4,1.140677091147201,1682.5083345835521,17,SEC,TENN,2023,17,2026-09-23T04:17:06Z,
Kansas State,-0.8190873161266244,1.5474583094418561,12,1,Kansas,0.3420538032678859,Iowa State,-0.808121628571717,0.0,1.189054787272566,1940.5485458996395,1918.217825025031,0.0,0.0,-0.08311566096333656,9,4,1.1059391263092295,1676.9502602094767,18,Big 12,KSU,2023,17,2026-09-23T04:17:06Z,
Oklahoma State,-0.7703017425958069,-11.496173469472284,13,1,Kansas State,0.48630861141172865,South Alabama,-0.8827061281705796,0.0,0.9552861091992392,1693.6520907786967,1918.217825025031,0.0,0.0,0.11862779711185667,10,4,1.0739139063110958,1671.8262250097753,19,Big 12,OKST,2023,17,2026-09-23T04:17:06Z,
James Madison,-0.9856673356619448,-9.28423775848341,12,1,Troy,0.2871464644768482,App State,-0.906466515055486,0.0,0.9373655802376896,1709.020285435327,1918.217825025031,0.0,0.0,0.0,11,2,0.9373655802376896,1649.9784928380304,20,Sun Belt,JMU,2023,17,2026-09-23T04:17:06Z,
Louisville,-1.0285607932907677,-5.757596093221638,13,1,Notre Dame,0.627662100092676,Pittsburgh,-0.9227453361316533,0.0,0.9923140197800577,1779.5650726963731,1918.217825025031,0.0,0.0,-0.08103312634569837,10,4,0.9112808934343594,1645.8049429494974,21,ACC,LOU,2023,17,2026-09-23T04:17:06Z,
Kansas,-1.2706425155756569,-7.294820823338408,12,1,Oklahoma,0.4571140578546977,Texas Tech,-0.8289676188930283,0.0,0.8958772061425464,1781.2094069042237,1918.217825025031,0.0,0.0,0.0,9,4,0.8958772061425464,1643.3403529828074,22,Big 12,KU,2023,17,2026-09-23T04:17:06Z,
Oregon State,-1.4768721369922233,-4.3151003155854,12,1,Utah,0.19000044021501816,Washington State,-0.7748369761433473,0.0,0.8950545701644869,1807.0038629100197,1918.217825025031,0.0,0.0,0.0,8,5,0.8950545701644869,1643.208731226318,23,Pac-12,ORST,2023,17,2026-09-23T04:17:06Z,
Iowa,-0.9701889938474616,-13.055424304739223,14,0,Iowa State,0.25880351855859274,Minnesota,-0.9397674840952611,0.0,0.8701599205257322,1633.0884773222542,1918.217825025031,0.0,0.0,0.0,10,4,0.8701599205257322,1639.2255872841172,24,Big Ten,IOWA,2023,17,2026-09-23T04:17:06Z,
Utah,-1.671702258240165,-9.182196634247088,12,1,USC,0.3567807558567735,Northwestern,-0.8682655034148478,0.0,0.7486117850179324,1714.8555201044646,1918.217825025031,0.0,0.0,0.11903966447892067,8,5,0.867651449496853,1638.8242319194965,25,Pac-12,UTAH,2023,17,2026-09-23T04:17:06Z,
NC State,-1.2205404819427574,-9.197274826635281,12,1,Clemson,0.2808327929192673,Louisville,-0.7407700301125381,0.0,0.8737297511324524,1749.798149129285,1918.217825025031,0.0,0.0,-0.00985868139320445,9,4,0.863871069739248,1638.2193711582797,26,ACC,NCSU,2023,17,2026-09-23T04:17:06Z,
USC,-1.455327223459573,-5.479747424288477,13,0,Arizona,0.4221419954204112,UCLA,-0.8191571768452984,0.0,0.8789594933786868,1791.6900332032765,1918.217825025031,0.0,0.0,-0.023554161336288404,8,5,0.8554053320423984,1636.8648531267838,27,Pac-12,USC,2023,17,2026-09-23T04:17:06Z,
Duke,-2.250585122654882,-7.294035770701452,12,1,Clemson,0.2808327929192673,Virginia,-0.9249787706400072,0.0,0.6235095333674614,1738.1668399973814,1918.217825025031,0.0,0.0,0.2138102084742366,8,5,0.837319741841698,1633.9711586946717,28,ACC,DUKE,2023,17,2026-09-23T04:17:06Z,
SMU,-1.5906567453947116,-6.792635976505672,13,1,Memphis,0.19898300726733842,Boston College,-0.9303054114370091,0.0,0.8164490599602163,1751.8647044736897,1918.217825025031,0.0,0.0,0.0,11,3,0.8164490599602163,1630.6318495936346,29,American Athletic,SMU,2023,17,2026-09-23T04:17:06Z,
Troy,-1.3936573716461047,-8.579757542442168,13,1,South Alabama,0.11729387182942042,James Madison,-0.8154892594097249,0.0,0.837319741841698,1739.9396583148164,1918.217825025031,0.0,0.0,-0.059101085542625276,11,3,0.7782186562990727,1624.5149850078517,30,Sun Belt,TROY,2023,17,2026-09-23T04:17:06Z,
Clemson,-1.2508835155551266,-6.466068830800641,12,1,Notre Dame,0.627662100092676,Miami,-0.7357427067028393,0.0,0.9170838909486525,1797.3005460443878,1918.217825025031,0.0,0.0,-0.14485044153840687,9,4,0.7722334494102456,1623.5573519056393,31,ACC,CLEM,2023,17,2026-09-23T04:17:06Z,
West Virginia,-1.5254887249236657,-10.371273377830123,12,1,TCU,0.24773954874745574,Houston,-0.9267294744116906,0.0,0.7667060800571988,1711.0757278093968,1918.217825025031,0.0,0.0,0.0,9,4,0.7667060800571988,1622.6729728091518,32,Big 12,WVU,2023,17,2026-09-23T04:17:06Z,
Tulane,-1.5081538064357094,-15.077258601707879,13,1,Memphis,0.19898300726733842,Virginia Tech,-0.7957613296185367,0.0,0.6822911288316209,1570.345308234768,1918.217825025031,0.0,0.0,0.0782322543924786,11,3,0.7605233832240995,1621.683741315856,33,American Athletic,TULN,2023,17,2026-09-23T04:17:06Z,
Memphis,-1.4777894219357885,-11.396556846352706,12,1,Iowa State,0.25880351855859274,Tulane,-0.9124054324730262,0.0,0.7605233832240995,1661.7479208812188,1918.217825025031,0.0,0.0,-0.0782322543924786,10,3,0.6822911288316209,1609.1665806130593,34,American Athletic,MEM,2023,17,2026-09-23T04:17:06Z,
Maryland,-2.020157229078783,-7.6874632726643775,12,1,Rutgers,0.19476378104395908,Illinois,-0.9290950657423491,0.0,0.6800986912879701,1766.2046713330571,1918.217825025031,0.0,0.0,-0.019215711034407446,8,5,0.6608829802535626,1605.74127684057,35,Big Ten,MD,2023,17,2026-09-23T04:17:06Z,
