school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,result_note,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
California,-0.6573804273475625,-14.124850228363767,2,1,Syracuse,0.138521691379907,UCLA,-0.8043224723887621,0.0,-0.031594600450149196,1474.1783351647425,1790.187753145823,0.02317059823356523,0.4444444444444444,0.0,,2,1,-0.007254512146276119,1498.8392780565957,67,ACC,CAL,2026,3,2026-09-23T04:47:05Z,
UConn,-0.7266849709249982,-8.411684652595145,2,1,Southern Miss,0.06724067874777151,Maryland,-0.8023460033340623,0.0,-0.000798693727685627,1527.581829076114,1790.187753145823,-0.12061436720309332,0.4444444444444444,0.0,,2,1,-0.05405010416120015,1491.351983334208,68,FBS Independents,CONN,2026,3,2026-09-23T04:47:05Z,
Florida State,-1.038648927730156,-9.032786250354674,3,0,New Mexico State,0.04917093974051712,SMU,-0.7255559371459485,0.0,-0.3335275173411904,1572.508753473292,1790.187753145823,0.28063768011116247,0.4,0.0,,1,2,-0.08786143836024923,1485.94216986236,69,ACC,FSU,2026,3,2026-09-23T04:47:05Z,
Oklahoma State,-0.38171253396979243,-4.48682296741655,2,1,Oregon,0.4590666780304994,Tulsa,-0.8491995656615844,0.0,0.42508446718635867,1493.317562218264,1790.187753145823,-0.7993236270597671,0.4444444444444444,0.0,,2,1,-0.11909690803414166,1480.9444947145373,70,Big 12,OKST,2026,3,2026-09-23T04:47:05Z,
Colorado,-0.5596715261662805,-18.819918117662752,2,1,Georgia Tech,0.17063742312028207,Northwestern,-0.7387293029478551,0.0,-0.014887449743341077,1419.1949859932758,1790.187753145823,-0.2578540239277765,0.4444444444444444,0.0,,2,1,-0.12287259382531238,1480.34038498795,71,Big 12,COLO,2026,3,2026-09-23T04:47:05Z,
Marshall,-0.2778006843350101,-22.190904972327882,3,0,Missouri State,0.07701365375835056,Penn State,-0.41742932541995653,0.0,0.21537409381692094,1408.4509083828805,1790.187753145823,-0.6994349055928166,0.4,0.0,,2,1,-0.15054950594697408,1475.9120790484842,72,Sun Belt,MRSH,2026,3,2026-09-23T04:47:05Z,
Toledo,-0.6822278309398649,-11.035765211959406,2,1,Temple,0.07877168085681496,Michigan State,-0.7694198654579725,0.0,-0.0019275865005265553,1526.6271055081504,1790.187753145823,-0.3978139629781468,0.4444444444444444,0.0,,2,1,-0.17787708715724668,1471.5396660548406,73,Mid-American,TOL,2026,3,2026-09-23T04:47:05Z,
NC State,-1.418686221495006,-10.738411069528915,2,1,Richmond,0.008420353661292568,Vanderbilt,-0.7286389515745328,0.0,-0.7558441624256993,1556.4466105768847,1790.187753145823,0.5246549268206765,0.4444444444444444,0.0,,1,2,-0.18673345609397676,1470.1226470249637,74,ACC,NCSU,2026,3,2026-09-23T04:47:05Z,
North Texas,-0.992264894022834,-11.793048236145566,3,0,UNLV,0.08788832230990618,Texas State,-0.8365912923451327,0.0,-0.3351070492733586,1548.5353760481119,1790.187753145823,0.1772847233142652,0.4,-0.06105255986336816,,1,2,-0.19120290010167723,1469.4075359837316,75,American Athletic,UNT,2026,3,2026-09-23T04:47:05Z,
Tulane,-1.2105486357150128,-16.777657348506118,3,0,South Alabama,0.08392429011640845,Duke,-0.6859719158678322,0.0,-0.6493483397460139,1494.4260728018767,1790.187753145823,0.4272018850788358,0.4,0.0,,1,2,-0.218728249816074,1465.0034800294281,76,American Athletic,TULN,2026,3,2026-09-23T04:47:05Z,
Louisiana,-0.46676303125804386,-14.057782513411212,2,1,UAB,0.04390203732846476,USC,-0.5190854222478012,0.0,0.16611912188327485,1435.4389431119328,1790.187753145823,-0.7123094538427966,0.4444444444444444,0.0,,2,1,-0.2242935784394236,1464.1130274496923,77,Sun Belt,UL,2026,3,2026-09-23T04:47:05Z,
Arkansas,-0.7875388242141114,-21.37722567400279,2,1,North Alabama,0.008420353661292568,Utah,-0.45354465541507466,0.0,-0.29556917708779135,1447.108410871479,1790.187753145823,-0.17563742237609906,0.4444444444444444,0.0,,1,2,-0.2422661749937059,1461.237412001007,78,SEC,ARK,2026,3,2026-09-23T04:47:05Z,
Troy,-0.5699097239072604,-16.87052941621822,2,1,Sam Houston,0.06476890300160609,Missouri,-0.643098980570159,0.0,0.009444383549482552,1426.6321402171106,1790.187753145823,-0.6101268938176888,0.4444444444444444,0.0,,2,1,-0.2659206286137047,1457.4526994218072,79,Sun Belt,TROY,2026,3,2026-09-23T04:47:05Z,
Florida Atlantic,-0.44501770390592177,-22.445697593271102,3,0,Florida International,0.07154388258208155,Florida,-0.5779061867257812,0.0,0.038424986363529534,1350.953944451514,1790.187753145823,-0.8282343407823353,0.4,0.0,,2,1,-0.3082387444948164,1450.6818008808293,80,American Athletic,FAU,2026,3,2026-09-23T04:47:05Z,
Georgia Tech,-1.4988222400389701,-16.023015642615434,2,1,Mercer,0.008420353661292568,Colorado,-0.9231753904987581,0.0,-0.9330334128834815,1503.233448726182,1790.187753145823,0.4705506048246412,0.4444444444444444,0.0,,1,2,-0.30921829390209365,1450.525072975665,81,ACC,GT,2026,3,2026-09-23T04:47:05Z,
Liberty,-0.5818729538422848,-13.548957700595293,2,1,Ball State,0.02438314785417761,James Madison,-0.614676455357755,0.0,0.05655473292450384,1469.1306072037419,1790.187753145823,-0.7721128979473649,0.4444444444444444,0.0,,2,1,-0.3117419919074378,1450.12128129481,82,Conference USA,LIB,2026,3,2026-09-23T04:47:05Z,
Texas State,-0.9695053137843823,-16.83324664082647,3,0,North Texas,0.1562082741592965,UTSA,-0.8404650539187895,0.0,-0.4018440443486892,1494.8275998962026,1790.187753145823,-0.41734698475589815,0.4,0.06105255986336816,,1,2,-0.3469926606482046,1444.4811742962872,83,Pac-12,TXST,2026,3,2026-09-23T04:47:05Z,
East Carolina,-1.1474780429835023,-20.70093899352789,3,0,Old Dominion,0.12336025613064105,App State,-0.9085743687894186,0.0,-0.6545388436645102,1453.5321518406656,1790.187753145823,0.05523766432506109,0.4,0.0,,1,2,-0.37062824046868165,1440.699481525011,84,American Athletic,ECU,2026,3,2026-09-23T04:47:05Z,
Colorado State,-0.6332834102775751,-11.04450026924715,2,1,Wyoming,0.028675025189567993,BYU,-0.6703787891284356,0.0,0.04837443000524681,1428.8950361547609,1790.187753145823,-0.973448707406932,0.4444444444444444,0.0,,2,1,-0.4057691866223882,1435.076930140418,85,Pac-12,CSU,2026,3,2026-09-23T04:47:05Z,
Stanford,-1.0559093678062914,-24.483137718600954,3,0,Hawai'i,0.05890356462643842,Duke,-0.6859719158678322,0.0,-0.6278249262568449,1374.612214797515,1790.187753145823,-0.0860040852114479,0.4,0.0,,1,2,-0.4110965898386861,1434.2245456258102,86,ACC,STAN,2026,3,2026-09-23T04:47:05Z,
Delaware,-0.6507199399297646,-11.14249040415369,2,1,Coastal Carolina,0.06949865798347565,Vanderbilt,-0.7286389515745328,0.0,0.02864490950503762,1453.7440260418205,1790.187753145823,-1.0063108771573,0.4444444444444444,0.0,,2,1,-0.43133544012266795,1430.9863295803732,87,Conference USA,DEL,2026,3,2026-09-23T04:47:05Z,
Massachusetts,0.11515839479435186,-8.08973127474468,1,2,Rutgers,0.09831768747176672,,,0.0,0.8728458355901642,1338.0365898294467,1790.187753145823,-1.7616154494306093,0.5,0.0,,3,0,-0.4443848069202226,1428.8984308927643,88,Mid-American,MASS,2026,3,2026-09-23T04:47:05Z,
Boston College,-0.7062413871094216,-23.573511599981163,2,1,Rutgers,0.06902828101177072,Cincinnati,-0.7836900217824849,0.0,-0.25106233788517845,1370.753462858342,1790.187753145823,-0.6876322700401326,0.4444444444444444,0.0,,2,1,-0.44509341884293585,1428.7850529851303,89,ACC,BC,2026,3,2026-09-23T04:47:05Z,
Washington State,-1.2871629242224816,-16.22804438523868,2,1,Duquesne,0.008420353661292568,Washington,-0.687082267920185,0.0,-0.7184964157666961,1476.6952118043866,1790.187753145823,-0.10416518472923271,0.4444444444444444,0.0,,1,2,-0.4454603130833791,1428.7263499066594,90,Pac-12,WSU,2026,3,2026-09-23T04:47:05Z,
Central Michigan,-0.694217967540131,-26.76413783381766,2,1,Wyoming,0.028675025189567993,New Mexico,-0.7313133463909915,0.0,-0.2957672051150654,1297.547828968097,1790.187753145823,-0.6780417042451122,0.4444444444444444,0.0,,2,1,-0.4656669825061973,1425.4932827990085,91,Mid-American,CMU,2026,3,2026-09-23T04:47:05Z,
South Alabama,-0.7531665488280501,-14.37908003402869,2,1,Ohio,0.07534344281035643,Tulane,-0.8369303452996991,0.0,-0.13489327839291113,1434.741849843669,1790.187753145823,-0.9315557121411007,0.4444444444444444,0.0,,2,1,-0.48896547116988426,1421.7655246128186,92,Sun Belt,USA,2026,3,2026-09-23T04:47:05Z,
Kansas,-1.5115721627072436,-13.416654762840514,2,1,Long Island University,0.008420353661292568,Arizona State,-0.7939780842611004,0.0,-0.8995336690234224,1498.0121457619423,1790.187753145823,-0.021478612221719005,0.4444444444444444,0.0,,1,2,-0.5092869771115542,1418.5140836621513,93,Big 12,KU,2026,3,2026-09-23T04:47:05Z,
Georgia State,-0.6580065993157055,-8.085649244908042,2,1,Kennesaw State,0.08266920091608987,UCF,-0.7490961538930879,0.0,0.07583880286699768,1440.6951779135416,1790.187753145823,-1.2882852874206916,0.4444444444444444,0.0,,2,1,-0.5304385705941975,1415.1298287049285,94,Sun Belt,GAST,2026,3,2026-09-23T04:47:05Z,
Louisiana Tech,-1.1720350481962258,-13.206826484652447,2,1,Northwestern State,0.008420353661292568,Baylor,-0.7377355417725266,0.0,-0.5457390536315074,1456.6599537223176,1790.187753145823,-0.5792208625928473,0.4444444444444444,0.0,,1,2,-0.5606198576143251,1410.300822781708,95,Sun Belt,LT,2026,3,2026-09-23T04:47:05Z,
San Diego State,-1.4292102328558483,-16.785835722212582,2,1,Portland State,0.008420353661292568,UCLA,-0.7365042829629357,0.0,-0.8749198127761177,1460.2435185489103,1790.187753145823,-0.20046461473515068,0.4444444444444444,0.0,,1,2,-0.5751619469801323,1407.9740884831788,96,Pac-12,SDSU,2026,3,2026-09-23T04:47:05Z,
Temple,-1.3125681088543508,-13.844004008639892,2,1,Rhode Island,0.008420353661292568,Toledo,-0.8079116850155892,0.0,-0.7020220784685652,1423.5851474003343,1790.187753145823,-0.480592871407311,0.4444444444444444,0.0,,1,2,-0.6036090975524523,1403.4225443916075,97,American Athletic,TEM,2026,3,2026-09-23T04:47:05Z,
Syracuse,-1.5412302278048484,-10.254279914356424,2,1,New Hampshire,0.008420353661292568,California,-0.8953308286704648,0.0,-0.8735145053133898,1463.358393297985,1790.187753145823,-0.27931332010359916,0.4444444444444444,0.0,,1,2,-0.609425089664594,1402.4919856536649,98,ACC,SYR,2026,3,2026-09-23T04:47:05Z,
Old Dominion,-1.5734062816542629,-21.056519450466087,2,1,Norfolk State,0.008420353661292568,East Carolina,-0.9067026455688029,0.0,-1.1000051982554568,1441.7853122964525,1790.187753145823,-0.03579667667321386,0.4444444444444444,0.0,,1,2,-0.6270236331077934,1399.676218702753,99,Sun Belt,ODU,2026,3,2026-09-23T04:47:05Z,
Middle Tennessee,-0.8406925377208778,-15.74415399396679,2,1,Nevada,0.04813930548201395,Marshall,-0.8972521968641843,0.0,-0.24955625114134142,1383.6407641192222,1790.187753145823,-1.1535502594058382,0.4444444444444444,0.0,,2,1,-0.6513313659255622,1395.7869814519102,100,Conference USA,MTSU,2026,3,2026-09-23T04:47:05Z,
