school,sor,performance,fbs_games,fcs_games,best_win,best_win_value,worst_loss,worst_loss_value,playoff_bonus,resume_z,solver_rating,benchmark_rating,preseason_z,preseason_share,h2h_adjustment,result_note,wins,losses,poll_score,poll_rating,rank,conference,abbreviation,season,week,as_of,check_flags
Akron,-1.561440879089119,-25.15571206907262,2,1,Robert Morris,0.008420353661292568,Wake Forest,-0.7988513228093075,0.0,-1.1610297921147612,1288.4927659224281,1790.187753145823,-1.0160085030164954,0.4444444444444444,0.0,,1,2,-1.0965758858488652,1324.5478582641815,125,Mid-American,AKR,2026,3,2026-09-23T04:47:05Z,
Air Force,-0.861761891632445,-12.808525150969452,1,1,Duquesne,0.008420353661292568,North Dakota State,-0.8701822452937376,0.0,-0.21874061439388182,1406.6057608452304,1790.187753145823,-1.763649784253836,0.5714285714285714,0.0,,1,1,-1.1015458543138554,1323.7526633097832,126,Mountain West,AF,2026,3,2026-09-23T04:47:05Z,
Rutgers,-2.482361267162857,-25.220341125609377,3,0,,,Massachusetts,-0.9520296552455174,0.0,-2.1115921725899502,1400.5248290441127,1790.187753145823,0.17329281733879554,0.4,0.0,,0,3,-1.1976381766184518,1308.3778917410477,127,Big Ten,RUTG,2026,3,2026-09-23T04:47:05Z,
New Mexico State,-1.6673263873201138,-18.97227130481495,2,1,Mercyhurst,0.008420353661292568,Hawai'i,-0.9157141078068314,0.0,-1.1595301972311405,1342.239403239468,1790.187753145823,-1.3037805029950575,0.4444444444444444,0.0,,1,2,-1.2236414442373258,1304.2173689220278,128,Conference USA,NMSU,2026,3,2026-09-23T04:47:05Z,
Sam Houston,-1.7702532803135942,-11.674902672106091,2,1,Nicholls,0.008420353661292568,Tulsa,-0.8922556287240241,0.0,-1.1350453610446836,1389.4837808566763,1790.187753145823,-1.391593218212277,0.4444444444444444,0.0,,1,2,-1.2490666308969471,1300.1493390564885,129,Conference USA,SHSU,2026,3,2026-09-23T04:47:05Z,
Nevada,-1.867261262886335,-22.35014778179993,2,1,Western Kentucky,0.034873769639325314,Montana State,-0.9915796463387074,0.0,-1.4261006046055458,1338.634051699511,1790.187753145823,-1.1312721515129585,0.4444444444444444,0.0,,1,2,-1.2950657365643958,1292.7894821496966,130,Mountain West,NEV,2026,3,2026-09-23T04:47:05Z,
Utah State,-2.132206569673967,-27.21264915633641,2,1,,,Idaho State,-0.9915796463387074,0.0,-1.7862615002248636,1343.9660997871904,1790.187753145823,-0.6868514734336786,0.4444444444444444,0.0,,0,3,-1.2976348216510036,1292.3784285358395,131,Pac-12,USU,2026,3,2026-09-23T04:47:05Z,
Wyoming,-1.8220375574839407,-32.944006231121485,2,1,Northern Colorado,0.008420353661292568,Central Michigan,-0.9454559820352056,0.0,-1.5690682174589623,1251.5558793925243,1790.187753145823,-1.0731726367451926,0.4444444444444444,0.0,,1,2,-1.3486701815861757,1284.212770946212,132,Mountain West,WYO,2026,3,2026-09-23T04:47:05Z,
Charlotte,-2.2849213521169554,-27.358620061881343,2,1,,,The Citadel,-0.9915796463387074,0.0,-1.9463122970577225,1255.0555601654262,1790.187753145823,-1.303845330471272,0.4444444444444444,0.0,,0,3,-1.6607714230193,1234.276572316912,133,American Athletic,CLT,2026,3,2026-09-23T04:47:05Z,
Northern Illinois,-2.2934137277368745,-35.18904089373115,2,1,,,Illinois State,-0.9915796463387074,0.0,-2.095202384090522,1225.3128659835997,1790.187753145823,-1.2174829577925885,0.4444444444444444,0.0,,0,3,-1.7051048612914403,1227.1832221933696,134,Mountain West,NIU,2026,3,2026-09-23T04:47:05Z,
Eastern Michigan,-2.4401301370852964,-31.141705489498527,4,0,Sacramento State,0.040303691813271536,San José State,-0.9544527053391577,0.0,-2.174024885825936,1277.2380204265535,1790.187753145823,-0.9290885395601088,0.3333333333333333,0.028393143543649746,,1,3,-1.730652960193677,1223.0955263690116,135,Mid-American,EMU,2026,3,2026-09-23T04:47:05Z,
Bowling Green,-2.3694876256730866,-43.157400666040964,2,1,,,Tarleton State,-0.9915796463387074,0.0,-2.3162329732469797,1166.6433357502706,1790.187753145823,-1.021529534615942,0.4444444444444444,0.0,,0,3,-1.7408092227442964,1221.4705243609126,136,Mid-American,BGSU,2026,3,2026-09-23T04:47:05Z,
Sacramento State,-2.6064936060346127,-27.80206455086753,3,1,Mississippi Valley State,0.008420353661292568,Eastern Michigan,-0.9515801453376146,0.0,-2.285767223174837,1308.570163870477,1790.187753145823,-0.7592029999766468,0.36363636363636365,-0.028393143543649746,,1,3,-1.7590461037373268,1218.5526234020276,137,Mid-American,SAC,2026,3,2026-09-23T04:47:05Z,
UL Monroe,-2.5238884547219445,-34.976519945626215,2,1,,,SE Louisiana,-0.9915796463387074,0.0,-2.329002697521378,1173.0418719771917,1790.187753145823,-1.3111911021311984,0.4444444444444444,0.0,,0,3,-1.8766419884590761,1199.7372818465478,138,Sun Belt,ULM,2026,3,2026-09-23T04:47:05Z,
